idrecibo,fecha_emision,fecha_efecto,idpoliza,situacion,origen,importe_prima,importe_consorcio,importe_comision
162,2021-07-26,2021-07-27,1043,AN,MA,86275,32,98
163,2020-11-19,2020-11-20,1983,AN,MA,39127,22,46
164,2022-01-09,2022-01-10,65,CO,MA,66506,23,97
165,2022-04-10,2022-04-11,95,CO,AU,54410,21,25
166,2022-04-21,2022-04-22,1571,CO,AU,72782,10,47
167,2022-02-22,2022-02-23,881,CO,AU,57288,5,9
168,2021-01-09,2021-01-10,1282,CO,MA,47884,22,93
169,2021-03-10,2021-03-11,306,AN,MA,29346,19,66
170,2021-07-11,2021-07-12,413,AN,MA,61395,16,3
171,2022-01-02,2022-01-03,379,AN,MA,67684,8,85
172,2021-10-27,2021-10-28,1611,AN,AU,14117,33,8
173,2021-01-31,2021-02-01,1437,CO,AU,49241,17,54
174,2020-11-03,2020-11-04,306,CO,MA,16788,33,33
175,2021-11-13,2021-11-14,1725,AN,MA,38918,17,14
176,2021-02-27,2021-02-28,1424,CO,MA,54898,7,99
177,2021-08-05,2021-08-06,1221,CO,AU,71006,1,44
178,2022-03-16,2022-03-17,996,CO,MA,25585,10,84
179,2022-03-19,2022-03-20,1425,CO,MA,51643,17,74
180,2021-10-10,2021-10-11,1155,AN,AU,80666,19,42
181,2022-03-31,2022-04-01,1017,AN,MA,67651,24,60
182,2021-07-14,2021-07-15,584,AN,MA,14400,8,72
183,2021-07-06,2021-07-07,504,AN,AU,80801,30,69
184,2020-10-27,2020-10-28,1115,CO,MA,88344,26,47
185,2020-11-09,2020-11-10,62,AN,MA,9772,12,21
186,2021-12-03,2021-12-04,1289,AN,MA,98039,32,14
187,2022-01-23,2022-01-24,12,CO,AU,68764,8,4
188,2021-05-31,2021-06-01,445,AN,AU,71141,30,43
189,2022-06-25,2022-06-26,474,AN,MA,11992,30,31
190,2021-02-11,2021-02-12,911,AN,MA,31090,7,71
191,2022-01-08,2022-01-09,1564,AN,AU,18661,33,57
192,2021-09-29,2021-09-30,405,CO,AU,76607,3,43
193,2021-05-27,2021-05-28,839,AN,MA,17561,9,9
194,2022-05-04,2022-05-05,749,CO,AU,5192,20,67
195,2022-06-06,2022-06-07,419,AN,AU,79125,8,30
196,2022-04-08,2022-04-09,72,CO,AU,83847,16,50
197,2022-07-01,2022-07-02,1090,CO,AU,34263,13,78
198,2022-02-22,2022-02-23,479,CO,AU,71131,34,46
199,2022-05-03,2022-05-04,750,AN,MA,74774,17,98
200,2021-11-20,2021-11-21,488,AN,MA,71839,5,75
201,2021-06-28,2021-06-29,1600,AN,AU,78741,12,74
202,2021-01-19,2021-01-20,1463,AN,AU,57970,4,47
203,2021-02-16,2021-02-17,828,CO,AU,89470,30,18
204,2021-02-18,2021-02-19,1898,AN,AU,66204,21,36
205,2022-05-07,2022-05-08,1468,AN,MA,29650,16,1
206,2021-01-09,2021-01-10,1720,AN,MA,30269,10,40
207,2021-12-16,2021-12-17,1473,AN,AU,30986,2,6
208,2021-01-19,2021-01-20,993,CO,MA,83296,19,64
209,2020-11-23,2020-11-24,298,AN,MA,23504,32,62
210,2021-01-24,2021-01-25,1039,CO,AU,62308,27,14
211,2022-01-20,2022-01-21,461,AN,MA,29933,14,98
212,2021-05-15,2021-05-16,1569,AN,MA,82912,13,50
213,2022-06-12,2022-06-13,1364,AN,MA,21406,31,29
214,2021-03-20,2021-03-21,1764,AN,MA,82497,24,42
215,2021-06-29,2021-06-30,1814,AN,AU,79232,4,93
216,2021-05-22,2021-05-23,1482,AN,MA,24544,26,27
217,2021-08-03,2021-08-04,1787,CO,AU,32114,13,90
218,2021-02-28,2021-03-01,631,CO,MA,24273,2,62
219,2020-10-24,2020-10-25,19,AN,AU,82035,1,36
220,2021-06-27,2021-06-28,441,CO,MA,13334,20,37
221,2020-11-06,2020-11-07,1855,AN,AU,34868,29,32
222,2020-11-24,2020-11-25,670,AN,AU,17449,9,22
223,2022-05-12,2022-05-13,1647,CO,MA,56071,22,73
224,2021-09-02,2021-09-03,1549,CO,MA,95003,19,37
225,2021-10-09,2021-10-10,1222,AN,MA,60826,6,24
226,2021-09-24,2021-09-25,619,AN,MA,97289,14,91
227,2022-02-28,2022-03-01,1365,CO,AU,1148,30,32
228,2020-12-06,2020-12-07,1012,CO,AU,57028,23,33
229,2022-02-23,2022-02-24,494,AN,MA,93536,21,49
230,2021-11-16,2021-11-17,490,CO,AU,86726,30,53
231,2021-02-02,2021-02-03,1778,AN,AU,98299,23,41
232,2022-01-18,2022-01-19,1723,AN,AU,50953,3,94
233,2021-08-27,2021-08-28,901,AN,AU,28120,19,90
234,2021-11-20,2021-11-21,837,AN,AU,14496,10,72
235,2020-10-18,2020-10-19,1185,CO,AU,99748,28,49
236,2021-10-02,2021-10-03,1681,AN,MA,41369,3,14
237,2021-06-21,2021-06-22,532,AN,AU,89474,16,47
238,2022-06-21,2022-06-22,613,CO,AU,89345,21,34
239,2022-02-06,2022-02-07,1067,AN,AU,54401,19,5
240,2021-04-09,2021-04-10,649,CO,MA,23744,13,34
241,2021-05-01,2021-05-02,1973,AN,AU,84250,19,19
242,2021-06-22,2021-06-23,459,AN,AU,47475,1,30
243,2022-04-28,2022-04-29,159,AN,MA,83367,16,33
244,2021-04-02,2021-04-03,1121,CO,AU,42975,2,64
245,2021-08-26,2021-08-27,971,AN,AU,31782,6,77
246,2020-11-05,2020-11-06,1716,AN,AU,40743,24,33
247,2021-08-05,2021-08-06,473,CO,MA,74677,7,37
248,2021-04-06,2021-04-07,457,CO,AU,66455,9,91
249,2020-11-07,2020-11-08,1071,CO,AU,16224,22,83
250,2021-10-25,2021-10-26,526,CO,MA,30439,20,97
251,2022-05-20,2022-05-21,1066,AN,MA,3561,10,91
252,2022-04-13,2022-04-14,1278,CO,AU,47747,34,46
253,2022-02-21,2022-02-22,790,CO,MA,16701,11,91
254,2022-01-16,2022-01-17,1271,AN,AU,67607,9,35
255,2020-12-07,2020-12-08,1126,CO,MA,24490,2,74
256,2021-01-03,2021-01-04,1253,AN,MA,91598,2,23
257,2021-12-25,2021-12-26,1734,CO,MA,20029,32,35
258,2022-06-28,2022-06-29,617,CO,MA,67480,3,36
259,2020-11-15,2020-11-16,1255,CO,AU,51919,31,43
260,2022-03-09,2022-03-10,1331,CO,AU,75560,31,62
261,2021-05-16,2021-05-17,305,CO,AU,70153,9,46
262,2021-01-21,2021-01-22,419,CO,MA,3978,3,92
263,2020-11-21,2020-11-22,618,CO,AU,58511,28,91
264,2021-10-06,2021-10-07,1325,CO,AU,97039,2,44
265,2021-06-28,2021-06-29,1970,AN,AU,65677,7,74
266,2021-11-20,2021-11-21,1742,AN,MA,29208,14,86
267,2021-01-20,2021-01-21,303,AN,MA,73651,6,60
268,2022-04-09,2022-04-10,1295,CO,MA,77196,23,81
269,2020-10-25,2020-10-26,1631,CO,AU,28260,13,12
270,2021-11-27,2021-11-28,1690,CO,MA,73617,4,89
271,2021-08-09,2021-08-10,1863,AN,AU,50483,33,23
272,2021-04-28,2021-04-29,94,CO,AU,71879,7,29
273,2021-03-12,2021-03-13,1237,CO,MA,72337,32,64
274,2021-11-23,2021-11-24,866,AN,MA,48379,32,64
275,2021-09-07,2021-09-08,1614,CO,MA,3231,14,48
276,2020-12-23,2020-12-24,1760,AN,MA,68761,26,43
277,2021-03-01,2021-03-02,1836,AN,MA,16607,16,41
278,2021-01-06,2021-01-07,369,CO,MA,88763,2,27
279,2021-03-15,2021-03-16,1838,AN,MA,43386,16,46
280,2021-09-28,2021-09-29,606,AN,AU,32439,9,55
281,2020-11-24,2020-11-25,1163,AN,MA,79798,2,83
282,2021-10-31,2021-11-01,1862,CO,AU,93344,32,90
283,2021-04-06,2021-04-07,720,AN,MA,1036,7,59
284,2021-05-11,2021-05-12,306,AN,AU,59259,24,11
285,2022-06-11,2022-06-12,1791,AN,MA,38628,26,66
286,2021-09-29,2021-09-30,297,AN,AU,66989,34,4
287,2021-10-22,2021-10-23,1992,AN,AU,56169,5,1
288,2022-03-04,2022-03-05,272,AN,AU,27153,32,24
289,2021-10-02,2021-10-03,188,CO,AU,91485,30,98
290,2020-12-28,2020-12-29,1282,CO,AU,45640,20,70
291,2021-07-19,2021-07-20,540,AN,AU,90968,2,79
292,2022-06-18,2022-06-19,641,CO,AU,31647,22,43
293,2021-06-05,2021-06-06,1935,AN,MA,14117,23,51
294,2021-01-03,2021-01-04,1278,AN,MA,2602,29,46
295,2020-12-16,2020-12-17,1300,AN,AU,87773,4,13
296,2021-08-08,2021-08-09,909,AN,AU,6117,26,5
297,2021-01-14,2021-01-15,1654,AN,MA,35801,6,71
298,2022-06-08,2022-06-09,214,CO,AU,15740,34,89
299,2022-03-20,2022-03-21,677,CO,MA,73763,30,38
300,2022-04-28,2022-04-29,425,AN,AU,37295,15,6
301,2022-04-08,2022-04-09,1815,CO,MA,66491,18,94
302,2021-07-06,2021-07-07,344,AN,MA,92004,29,25
303,2021-08-11,2021-08-12,455,AN,AU,97300,31,86
304,2021-01-15,2021-01-16,1351,AN,MA,42185,31,87
305,2021-03-10,2021-03-11,909,AN,MA,31076,21,25
306,2020-12-23,2020-12-24,1009,AN,MA,16411,19,87
307,2021-02-03,2021-02-04,916,AN,MA,4014,26,88
308,2021-12-03,2021-12-04,1081,CO,AU,66545,21,58
309,2021-04-03,2021-04-04,1623,CO,AU,12970,33,88
310,2021-01-02,2021-01-03,1004,CO,AU,69375,5,70
311,2021-07-20,2021-07-21,170,AN,AU,54737,7,19
312,2021-03-02,2021-03-03,810,AN,MA,99172,14,62
313,2020-10-31,2020-11-01,1737,CO,MA,4067,30,85
314,2022-03-21,2022-03-22,1485,CO,MA,68220,16,26
315,2021-07-13,2021-07-14,1049,CO,MA,88025,26,7
316,2021-07-18,2021-07-19,1308,CO,MA,51194,9,19
317,2021-06-07,2021-06-08,718,CO,MA,30565,24,77
318,2021-06-27,2021-06-28,1982,CO,MA,35177,19,12
319,2021-03-28,2021-03-29,244,CO,AU,27189,26,98
320,2021-04-18,2021-04-19,1461,AN,MA,6099,34,36
321,2021-10-16,2021-10-17,434,CO,MA,19667,28,26
322,2020-12-16,2020-12-17,1388,CO,AU,80384,24,51
323,2021-12-21,2021-12-22,957,CO,MA,84454,13,69
324,2022-06-29,2022-06-30,1877,AN,MA,4654,29,9
325,2021-01-19,2021-01-20,1958,CO,MA,62482,27,86
326,2021-06-09,2021-06-10,354,CO,MA,75073,25,78
327,2022-05-20,2022-05-21,706,CO,AU,41622,1,52
328,2021-10-20,2021-10-21,1863,CO,AU,47428,16,89
329,2021-03-16,2021-03-17,1183,CO,MA,20384,28,74
330,2022-01-26,2022-01-27,692,AN,AU,10901,30,38
331,2021-10-26,2021-10-27,289,AN,MA,30042,5,58
332,2020-12-20,2020-12-21,861,AN,AU,8067,7,84
333,2021-07-25,2021-07-26,1556,CO,AU,28288,7,1
334,2021-07-01,2021-07-02,296,CO,AU,77002,16,74
335,2020-12-13,2020-12-14,1008,CO,MA,34014,5,3
336,2021-08-02,2021-08-03,373,CO,AU,52799,4,19
337,2020-11-27,2020-11-28,852,CO,AU,96877,8,24
338,2021-06-07,2021-06-08,1504,CO,AU,51211,20,41
339,2021-05-22,2021-05-23,935,AN,AU,96317,19,41
340,2022-05-14,2022-05-15,1103,CO,MA,61963,2,1
341,2021-12-10,2021-12-11,1682,AN,AU,85592,17,79
342,2020-12-20,2020-12-21,1580,AN,AU,36895,5,4
343,2020-11-13,2020-11-14,1149,AN,MA,42180,15,15
344,2022-04-08,2022-04-09,1238,CO,MA,31912,32,91
345,2022-04-25,2022-04-26,309,CO,MA,49039,19,69
346,2021-03-11,2021-03-12,574,CO,MA,48233,7,64
347,2020-10-17,2020-10-18,503,AN,AU,92239,26,39
348,2022-06-15,2022-06-16,542,AN,MA,34992,2,99
349,2021-11-13,2021-11-14,1790,AN,AU,71536,28,79
350,2021-06-27,2021-06-28,1021,CO,MA,7291,18,50
351,2022-03-29,2022-03-30,1409,CO,AU,42194,14,76
352,2020-12-09,2020-12-10,639,AN,AU,24401,18,27
353,2022-01-29,2022-01-30,1210,AN,AU,79551,27,81
354,2022-01-21,2022-01-22,1335,AN,AU,84233,12,56
355,2022-01-11,2022-01-12,1221,AN,MA,30129,4,48
356,2021-05-29,2021-05-30,1477,CO,AU,82174,33,32
357,2021-12-03,2021-12-04,869,AN,AU,60390,32,51
358,2020-11-15,2020-11-16,1849,CO,AU,36673,6,23
359,2021-05-23,2021-05-24,692,AN,MA,68141,34,16
360,2020-10-22,2020-10-23,1293,AN,MA,37873,19,72
361,2021-03-29,2021-03-30,640,CO,MA,59917,26,52
362,2020-11-30,2020-12-01,1983,AN,AU,94044,9,97
363,2021-04-29,2021-04-30,1784,AN,AU,48115,29,50
364,2021-05-01,2021-05-02,1718,AN,AU,24934,10,58
365,2021-06-07,2021-06-08,541,CO,MA,1316,1,52
366,2020-10-10,2020-10-11,1672,AN,AU,91693,13,30
367,2021-01-26,2021-01-27,1969,AN,AU,61521,18,37
368,2022-01-21,2022-01-22,1985,AN,MA,43551,16,70
369,2022-04-16,2022-04-17,1749,CO,MA,50226,31,95
370,2021-04-27,2021-04-28,1674,CO,AU,82871,33,67
371,2021-04-17,2021-04-18,1822,CO,AU,7688,6,13
372,2021-09-07,2021-09-08,1261,AN,MA,12460,8,89
373,2021-02-14,2021-02-15,869,CO,MA,69757,2,2
374,2022-04-01,2022-04-02,1433,CO,MA,95647,6,11
375,2021-05-25,2021-05-26,1982,CO,AU,68182,32,46
376,2021-08-05,2021-08-06,896,AN,AU,25593,28,28
377,2021-09-17,2021-09-18,869,AN,MA,45049,12,59
378,2021-08-09,2021-08-10,942,CO,MA,95791,13,12
379,2021-04-08,2021-04-09,390,AN,MA,92369,10,89
380,2021-06-16,2021-06-17,1180,CO,AU,24792,13,5
381,2020-11-11,2020-11-12,1566,AN,MA,85446,29,15
382,2021-08-05,2021-08-06,912,CO,MA,2687,28,34
383,2022-01-31,2022-02-01,1095,AN,AU,10646,32,51
384,2021-05-23,2021-05-24,899,AN,AU,12309,19,86
385,2022-06-01,2022-06-02,1295,AN,MA,22224,9,66
386,2021-10-26,2021-10-27,483,AN,AU,85031,16,10
387,2020-12-18,2020-12-19,1850,AN,AU,42115,9,22
388,2021-12-06,2021-12-07,1689,CO,AU,14041,17,4
389,2022-02-23,2022-02-24,1780,CO,AU,97693,15,38
390,2021-09-17,2021-09-18,1204,AN,AU,14258,5,57
391,2020-12-12,2020-12-13,37,AN,MA,96157,1,3
392,2022-03-24,2022-03-25,1370,AN,AU,38455,11,82
393,2020-12-12,2020-12-13,903,CO,AU,21884,24,3
394,2020-10-17,2020-10-18,1280,CO,AU,51608,17,15
395,2021-10-14,2021-10-15,1349,AN,MA,63285,18,10
396,2021-11-30,2021-12-01,303,AN,AU,98762,28,95
397,2022-04-01,2022-04-02,1205,CO,MA,64254,11,90
398,2021-08-30,2021-08-31,468,CO,AU,14359,9,32
399,2022-03-30,2022-03-31,1072,AN,AU,7540,13,41
400,2021-07-14,2021-07-15,1815,CO,MA,76343,15,63
401,2021-02-21,2021-02-22,979,AN,AU,89265,7,61
402,2021-06-03,2021-06-04,1522,CO,MA,28134,19,48
403,2021-05-23,2021-05-24,1580,AN,MA,65222,29,32
404,2021-09-13,2021-09-14,667,AN,MA,81879,18,77
405,2021-08-14,2021-08-15,798,CO,MA,57264,30,62
406,2021-02-23,2021-02-24,18,CO,AU,68228,1,18
407,2022-03-22,2022-03-23,1218,CO,AU,99316,16,64
408,2021-03-30,2021-03-31,926,CO,AU,91107,31,3
409,2022-01-21,2022-01-22,606,AN,MA,54735,22,61
410,2021-01-21,2021-01-22,1415,AN,AU,80035,11,61
411,2021-10-17,2021-10-18,506,AN,AU,67507,34,13
412,2021-03-09,2021-03-10,188,AN,AU,45726,15,74
413,2022-07-04,2022-07-05,849,CO,MA,43527,28,97
414,2022-02-21,2022-02-22,1070,AN,AU,35449,3,19
415,2021-04-01,2021-04-02,508,CO,MA,64556,28,69
416,2021-12-27,2021-12-28,1927,CO,MA,60275,27,86
417,2021-05-02,2021-05-03,462,AN,MA,23207,3,94
418,2021-07-28,2021-07-29,1302,CO,AU,87297,29,86
419,2021-07-08,2021-07-09,164,CO,AU,62980,15,91
420,2021-12-05,2021-12-06,1116,CO,AU,28131,5,43
421,2021-05-25,2021-05-26,709,CO,MA,18180,9,45
422,2021-04-11,2021-04-12,759,CO,MA,42208,3,63
423,2021-03-08,2021-03-09,1452,AN,MA,42985,10,79
424,2022-03-21,2022-03-22,942,AN,AU,95697,31,96
425,2021-04-19,2021-04-20,94,CO,MA,93770,33,21
426,2021-10-13,2021-10-14,1654,CO,MA,66581,15,21
427,2021-11-26,2021-11-27,1307,CO,AU,89142,19,69
428,2021-10-02,2021-10-03,1047,CO,MA,84577,22,59
429,2021-12-27,2021-12-28,1806,AN,MA,65990,30,74
430,2022-03-03,2022-03-04,1816,AN,AU,46176,27,49
431,2022-06-27,2022-06-28,659,AN,MA,59862,13,57
432,2020-12-14,2020-12-15,1506,AN,MA,99000,20,71
433,2021-05-11,2021-05-12,1667,CO,AU,6929,7,19
434,2022-05-31,2022-06-01,32,CO,MA,90174,8,1
435,2021-10-29,2021-10-30,1606,CO,MA,98153,23,78
436,2022-01-28,2022-01-29,1200,CO,MA,17719,24,1
437,2021-06-30,2021-07-01,344,AN,MA,10602,17,30
438,2021-12-29,2021-12-30,1959,CO,MA,53593,15,56
439,2020-12-29,2020-12-30,158,AN,AU,9855,7,61
440,2021-07-02,2021-07-03,1938,AN,MA,3769,15,40
