idpago,idsiniestro,estado,fecha_pago,importe_pago,tipo_pago
421,1994,CO,2020-10-13,73934,T
422,3288,CO,2021-05-26,58064,E
423,2399,AN,9999-12-31,76920,E
424,2868,AN,9999-12-31,69257,E
425,3250,AN,9999-12-31,748,T
426,2721,CO,2020-10-12,99181,E
427,3650,AN,9999-12-31,13815,T
428,2293,CO,2020-11-26,28989,T
429,2118,AN,9999-12-31,53578,T
430,2648,AN,9999-12-31,68017,E
431,431,AN,9999-12-31,45757,T
432,3964,AN,9999-12-31,51786,E
433,1484,AN,9999-12-31,58585,E
434,974,AN,9999-12-31,2280,E
435,2876,CO,2021-04-06,49622,E
436,821,CO,2021-02-05,54451,E
437,2730,AN,9999-12-31,10072,T
438,2089,CO,2022-02-04,35482,E
439,3718,AN,9999-12-31,85235,T
440,3453,CO,2021-11-29,12121,T
441,3798,CO,2021-12-26,43330,T
442,3036,CO,2020-11-03,15490,T
443,2121,AN,9999-12-31,10237,T
444,2625,CO,2022-03-09,98863,E
445,2728,CO,2021-07-08,90478,E
446,2076,AN,9999-12-31,19500,E
447,825,CO,2020-11-03,70841,E
448,3439,CO,2020-12-20,83139,E
449,3672,CO,2021-09-13,73276,E
450,2082,AN,9999-12-31,90283,T
451,3176,AN,9999-12-31,14173,T
452,186,CO,2021-12-30,13677,E
453,3753,CO,2021-06-17,7511,E
454,1840,AN,9999-12-31,94858,T
455,2565,CO,2021-10-10,73211,T
456,1965,CO,2020-12-15,34090,T
457,3745,CO,2022-06-10,39927,E
458,3806,AN,9999-12-31,36091,T
459,2273,CO,2021-07-24,82084,E
460,2965,CO,2022-02-03,16086,E
461,2500,CO,2020-12-28,55529,T
462,1894,CO,2021-03-24,3549,E
463,3239,CO,2021-08-23,4293,E
464,204,CO,2022-02-08,70861,E
465,2040,CO,2020-10-20,25634,E
466,877,AN,9999-12-31,49926,T
467,1089,AN,9999-12-31,93556,E
468,3016,AN,9999-12-31,91393,T
469,3061,CO,2021-06-01,21769,E
470,3272,AN,9999-12-31,84182,E
471,3842,CO,2021-05-16,55623,E
472,1551,CO,2020-12-26,33453,T
473,920,CO,2020-11-09,40403,E
474,438,AN,9999-12-31,62656,T
475,1228,CO,2020-11-14,22019,E
476,3151,AN,9999-12-31,50998,T
477,3077,CO,2022-05-23,83336,T
478,754,CO,2021-02-02,47985,T
479,1553,AN,9999-12-31,90165,E
480,3774,AN,9999-12-31,27951,E
481,1539,AN,9999-12-31,15480,T
482,31,CO,2020-10-19,38865,T
483,848,CO,2020-11-05,80518,E
484,3305,AN,9999-12-31,18149,T
485,3973,CO,2021-07-25,54317,E
486,2000,AN,9999-12-31,72216,T
487,2237,CO,2021-07-28,61091,T
488,2269,CO,2020-11-05,771,E
489,3901,AN,9999-12-31,60614,E
490,2294,AN,9999-12-31,50852,T
491,25,CO,2022-02-06,6435,T
492,2910,CO,2021-08-01,9956,E
493,90,CO,2020-12-25,68917,E
494,3589,CO,2021-08-13,41238,T
495,1368,AN,9999-12-31,5232,E
496,3320,CO,2020-12-14,93342,T
497,3227,AN,9999-12-31,3716,T
498,622,CO,2021-02-15,87017,T
499,232,AN,9999-12-31,26951,T
500,755,CO,2021-01-07,89744,E
501,183,CO,2021-05-03,44109,T
502,11,CO,2020-10-11,50840,E
503,1177,CO,2022-03-09,51542,E
504,3347,CO,2022-02-06,17255,E
505,3590,CO,2022-03-11,54889,T
506,1346,AN,9999-12-31,72445,T
507,2056,CO,2020-11-22,18256,E
508,342,AN,9999-12-31,5155,T
509,3736,AN,9999-12-31,9787,T
510,2282,CO,2021-10-02,16266,T
511,2437,AN,9999-12-31,89440,E
512,2519,AN,9999-12-31,28200,E
513,2831,AN,9999-12-31,44431,T
514,3793,AN,9999-12-31,59719,T
515,1001,AN,9999-12-31,24485,T
516,753,CO,2021-09-25,57515,E
517,470,AN,9999-12-31,73260,T
518,2857,CO,2021-10-07,20324,E
519,2186,CO,2021-01-28,79312,E
520,3587,AN,9999-12-31,3620,T
521,1893,AN,9999-12-31,53693,E
522,3708,CO,2021-09-14,14449,E
523,2045,AN,9999-12-31,44091,E
524,89,CO,2021-12-26,29100,E
525,3075,CO,2021-09-22,97762,T
526,3922,AN,9999-12-31,17551,T
527,2716,CO,2022-05-08,37534,T
528,3143,CO,2021-04-15,83880,E
529,1667,AN,9999-12-31,78026,T
530,194,CO,2021-09-15,96993,E
531,2352,AN,9999-12-31,6923,T
532,1856,AN,9999-12-31,3698,T
533,1885,CO,2020-10-31,97324,T
534,2189,CO,2020-12-06,49417,T
535,396,AN,9999-12-31,25223,E
536,3482,CO,2022-03-11,94749,T
537,407,AN,9999-12-31,57564,T
538,374,CO,2021-03-08,3143,E
539,2799,AN,9999-12-31,38422,E
540,2383,CO,2022-05-22,304,T
541,2934,CO,2021-03-19,55868,E
542,1930,AN,9999-12-31,60658,E
543,3982,AN,9999-12-31,70087,T
544,2178,AN,9999-12-31,67256,E
545,2846,AN,9999-12-31,60256,E
546,1137,AN,9999-12-31,2990,T
547,3825,CO,2021-06-16,13551,E
548,3750,CO,2021-11-17,33181,E
549,2786,CO,2021-07-04,67944,T
550,2063,AN,9999-12-31,23829,T
551,863,AN,9999-12-31,3790,T
552,417,AN,9999-12-31,49931,E
553,854,AN,9999-12-31,97940,T
554,3332,AN,9999-12-31,70141,E
555,1732,AN,9999-12-31,67528,T
556,2381,AN,9999-12-31,9506,T
557,455,CO,2021-02-17,84662,T
558,545,AN,9999-12-31,66337,E
559,246,CO,2021-04-18,38626,E
560,1991,CO,2021-08-24,34815,E
561,2361,CO,2021-07-09,43985,T
562,1731,CO,2022-05-27,48345,E
563,3709,CO,2022-03-22,93431,E
564,1940,AN,9999-12-31,39561,E
565,1693,CO,2021-05-10,1238,E
566,2451,CO,2022-04-23,19651,E
567,996,CO,2021-04-27,21624,E
568,924,CO,2022-01-09,96522,T
569,3768,CO,2022-04-05,22216,T
570,174,CO,2021-07-13,50423,E
571,44,AN,9999-12-31,46273,T
572,703,CO,2021-07-03,7495,E
573,3146,AN,9999-12-31,94340,T
574,2470,AN,9999-12-31,9082,T
575,1988,AN,9999-12-31,11584,E
576,3522,CO,2022-03-07,93508,E
577,1695,CO,2022-01-25,92154,T
578,796,CO,2021-11-25,99193,E
579,3843,AN,9999-12-31,82858,T
580,999,AN,9999-12-31,25465,E
581,3332,CO,2022-04-25,91366,T
582,3267,CO,2021-01-11,53718,T
583,1549,AN,9999-12-31,59464,T
584,1867,AN,9999-12-31,67759,E
585,1632,CO,2021-07-05,11915,T
586,3381,AN,9999-12-31,48276,T
587,2248,CO,2021-07-07,3632,E
588,685,CO,2021-10-28,8614,T
589,644,AN,9999-12-31,23059,E
590,2419,CO,2021-06-13,14295,E
591,1559,CO,2021-03-27,15785,E
592,2155,CO,2020-11-20,80307,E
593,1508,CO,2022-06-26,67953,E
594,1146,AN,9999-12-31,49096,T
595,3556,AN,9999-12-31,87696,E
596,1785,AN,9999-12-31,50517,E
597,1343,AN,9999-12-31,12933,E
598,2270,AN,9999-12-31,50970,E
599,3004,CO,2022-07-02,68195,T
600,2517,AN,9999-12-31,81325,E
601,172,CO,2021-03-02,9862,T
602,3916,AN,9999-12-31,89382,E
603,2206,AN,9999-12-31,34093,E
604,2172,AN,9999-12-31,16562,T
605,1151,AN,9999-12-31,34274,T
606,3293,CO,2021-09-27,39976,E
607,923,AN,9999-12-31,20133,T
608,3261,AN,9999-12-31,94816,T
609,15,AN,9999-12-31,69677,E
610,1915,CO,2021-01-04,4721,E
611,3865,CO,2021-05-16,23590,T
612,3966,CO,2021-04-20,6687,T
613,2,CO,2021-11-29,77054,T
614,69,CO,2021-10-15,21281,E
615,1995,AN,9999-12-31,69742,T
616,657,CO,2021-06-19,63227,T
617,1563,AN,9999-12-31,69486,T
618,249,AN,9999-12-31,29540,T
619,88,AN,9999-12-31,95420,T
620,25,CO,2021-08-05,66909,T
621,1862,AN,9999-12-31,9101,T
622,603,CO,2021-01-28,47660,T
623,1786,AN,9999-12-31,37897,E
624,1253,CO,2021-09-03,94719,E
625,2578,CO,2021-03-29,44279,E
626,1357,CO,2021-10-12,43659,E
627,540,AN,9999-12-31,60979,E
628,3399,AN,9999-12-31,56695,E
629,2436,CO,2020-10-26,46453,T
630,1546,CO,2022-02-03,44801,E
631,2297,AN,9999-12-31,96123,E
632,145,AN,9999-12-31,98400,T
633,371,CO,2021-12-13,67613,E
634,478,AN,9999-12-31,96768,T
635,1357,CO,2021-07-14,5602,E
636,3783,CO,2022-04-06,44503,T
637,1291,CO,2022-03-05,22616,E
638,1732,CO,2021-10-03,87200,T
639,3668,CO,2021-07-07,3206,E
640,3436,CO,2022-03-15,92360,E
641,2381,CO,2020-12-20,69032,T
642,2229,AN,9999-12-31,26185,E
643,2494,CO,2020-11-30,45397,E
644,1703,AN,9999-12-31,22268,T
645,1708,AN,9999-12-31,80668,T
646,607,CO,2021-04-23,11769,E
647,62,CO,2021-01-19,85492,E
648,3113,CO,2021-06-21,96515,E
649,3650,CO,2022-04-05,2845,T
650,2440,AN,9999-12-31,49072,E
651,3886,AN,9999-12-31,5181,T
652,908,CO,2021-01-17,81007,E
653,516,CO,2021-12-14,95630,T
654,167,CO,2021-08-27,9615,T
655,247,AN,9999-12-31,62158,T
656,3523,AN,9999-12-31,43665,T
657,3877,AN,9999-12-31,45578,E
658,759,CO,2020-10-23,97451,T
659,2602,CO,2021-05-06,89496,E
660,557,AN,9999-12-31,64532,E
661,2422,AN,9999-12-31,62413,T
662,1054,CO,2022-01-21,93250,T
663,536,CO,2021-11-05,70297,T
664,1085,AN,9999-12-31,83644,T
665,3482,CO,2022-03-31,59476,T
666,3286,AN,9999-12-31,48817,T
667,1838,AN,9999-12-31,81972,E
668,837,AN,9999-12-31,29304,E
669,864,CO,2020-12-28,47435,E
670,296,CO,2021-12-31,71436,T
671,2937,AN,9999-12-31,22994,T
672,3563,CO,2021-07-11,88189,T
673,2791,AN,9999-12-31,58163,T
674,1495,AN,9999-12-31,19217,T
675,778,CO,2021-11-26,39385,T
676,1543,AN,9999-12-31,95935,T
677,895,CO,2022-02-23,9013,E
678,369,CO,2021-11-29,43745,E
679,927,AN,9999-12-31,73038,E
680,1667,CO,2021-09-03,87090,T
681,2071,CO,2022-03-14,28608,E
682,3008,CO,2022-05-18,12811,T
683,539,AN,9999-12-31,39384,T
684,757,CO,2021-01-28,18974,T
685,1901,CO,2021-12-11,57148,T
686,3023,AN,9999-12-31,81417,E
687,654,AN,9999-12-31,95606,E
688,2243,CO,2022-04-06,62543,T
689,558,AN,9999-12-31,48694,T
690,2120,AN,9999-12-31,79981,E
691,3892,AN,9999-12-31,25421,E
692,1310,CO,2022-03-18,45524,E
693,3131,AN,9999-12-31,60985,T
694,65,CO,2021-11-05,84715,E
695,2050,AN,9999-12-31,61518,E
696,1268,CO,2021-08-07,57729,E
697,1239,AN,9999-12-31,23334,T
698,588,CO,2022-01-16,67758,E
699,3870,CO,2021-07-07,55429,T
700,2960,AN,9999-12-31,45075,T
701,40,CO,2021-01-04,11998,T
702,3270,CO,2021-05-19,34494,E
703,727,AN,9999-12-31,68850,E
704,2284,CO,2021-05-02,1753,E
705,2452,AN,9999-12-31,57714,T
706,3823,CO,2021-12-30,68051,E
