num_poliza,tarifa,situacion,fecha_alta,fecha_baja,importe_prima
123,TF1,B,2021-10-20,2022-05-27,0
124,TF1,B,2021-05-19,2021-09-29,44327
124,TS1,B,2021-05-19,2021-09-29,0
125,TS1,B,2022-04-08,2021-06-06,98537
125,TF1,B,2022-04-08,2021-06-06,0
126,TF1,A,2022-02-14,9999-12-31,66988
126,TS1,A,2022-02-14,9999-12-31,0
127,TS1,B,2021-06-12,2020-12-02,98439
127,TF1,B,2021-06-12,2020-12-02,0
128,TS1,B,2020-12-27,2022-04-18,31312
128,TF1,B,2020-12-27,2022-04-18,0
129,TF1,B,2022-05-20,2020-11-30,33695
129,TS1,B,2022-05-20,2020-11-30,0
130,TF1,A,2020-10-20,9999-12-31,82315
130,TS1,A,2020-10-20,9999-12-31,0
131,TF1,A,2021-01-09,9999-12-31,99304
131,TS1,A,2021-01-09,9999-12-31,0
132,TF1,B,2021-05-14,2021-03-02,77040
132,TS1,B,2021-05-14,2021-03-02,0
133,TS1,B,2021-08-12,2021-03-09,15977
133,TF1,B,2021-08-12,2021-03-09,0
134,TF1,A,2021-09-18,9999-12-31,90861
134,TS1,A,2021-09-18,9999-12-31,0
135,TF1,B,2022-03-31,2021-07-24,44494
135,TS1,B,2022-03-31,2021-07-24,0
136,TS1,A,2021-04-10,9999-12-31,13721
136,TF1,A,2021-04-10,9999-12-31,0
137,TF1,B,2021-04-10,2021-02-05,23428
137,TS1,B,2021-04-10,2021-02-05,0
138,TS1,B,2022-05-23,2022-03-22,31310
138,TF1,B,2022-05-23,2022-03-22,0
139,TF1,A,2020-10-20,9999-12-31,93130
139,TS1,A,2020-10-20,9999-12-31,0
140,TF1,A,2021-04-23,9999-12-31,65672
140,TS1,A,2021-04-23,9999-12-31,0
141,TF1,A,2020-10-19,9999-12-31,78977
141,TS1,A,2020-10-19,9999-12-31,0
142,TF1,B,2021-07-18,2021-11-09,9485
142,TS1,B,2021-07-18,2021-11-09,0
143,TF1,A,2021-06-21,9999-12-31,51373
143,TS1,A,2021-06-21,9999-12-31,0
144,TF1,B,2020-12-26,2021-02-01,63848
144,TS1,B,2020-12-26,2021-02-01,0
145,TS1,A,2021-09-22,9999-12-31,91101
145,TF1,A,2021-09-22,9999-12-31,0
146,TS1,A,2022-06-21,9999-12-31,79872
146,TF1,A,2022-06-21,9999-12-31,0
147,TF1,B,2022-03-11,2020-12-30,67121
147,TS1,B,2022-03-11,2020-12-30,0
148,TF1,B,2021-08-15,2021-05-18,23715
148,TS1,B,2021-08-15,2021-05-18,0
149,TF1,B,2022-05-30,2020-11-15,93841
149,TS1,B,2022-05-30,2020-11-15,0
150,TF1,A,2021-10-13,9999-12-31,20078
150,TS1,A,2021-10-13,9999-12-31,0
151,TF1,A,2021-02-12,9999-12-31,63007
151,TS1,A,2021-02-12,9999-12-31,0
152,TF1,A,2021-05-24,9999-12-31,3807
152,TS1,A,2021-05-24,9999-12-31,0
153,TS1,B,2021-06-02,2020-12-27,4389
153,TF1,B,2021-06-02,2020-12-27,0
154,TS1,A,2021-06-06,9999-12-31,7733
154,TF1,A,2021-06-06,9999-12-31,0
155,TS1,B,2022-01-14,2021-04-26,43907
155,TF1,B,2022-01-14,2021-04-26,0
156,TS1,A,2022-03-03,9999-12-31,79957
156,TF1,A,2022-03-03,9999-12-31,0
157,TF1,A,2022-06-28,9999-12-31,92378
157,TS1,A,2022-06-28,9999-12-31,0
158,TF1,A,2021-04-04,9999-12-31,40008
158,TS1,A,2021-04-04,9999-12-31,0
159,TS1,A,2020-11-04,9999-12-31,99483
159,TF1,A,2020-11-04,9999-12-31,0
160,TS1,B,2021-01-24,2022-06-20,44438
160,TF1,B,2021-01-24,2022-06-20,0
161,TF1,A,2021-12-27,9999-12-31,46470
161,TS1,A,2021-12-27,9999-12-31,0
162,TS1,B,2022-03-06,2022-05-17,72052
162,TF1,B,2022-03-06,2022-05-17,0
163,TS1,B,2021-04-11,2021-11-14,58581
163,TF1,B,2021-04-11,2021-11-14,0
164,TF1,A,2022-01-29,9999-12-31,37204
164,TS1,A,2022-01-29,9999-12-31,0
165,TF1,B,2022-06-14,2022-01-19,93735
165,TS1,B,2022-06-14,2022-01-19,0
166,TS1,A,2021-02-27,9999-12-31,25669
166,TF1,A,2021-02-27,9999-12-31,0
167,TF1,A,2021-03-31,9999-12-31,42162
167,TS1,A,2021-03-31,9999-12-31,0
168,TS1,B,2022-06-18,2021-09-15,71538
168,TF1,B,2022-06-18,2021-09-15,0
169,TS1,A,2022-02-07,9999-12-31,1829
169,TF1,A,2022-02-07,9999-12-31,0
170,TF1,A,2021-05-31,9999-12-31,65341
170,TS1,A,2021-05-31,9999-12-31,0
171,TS1,A,2021-12-15,9999-12-31,33328
171,TF1,A,2021-12-15,9999-12-31,0
172,TF1,B,2021-12-01,2022-06-12,58325
172,TS1,B,2021-12-01,2022-06-12,0
173,TS1,A,2020-12-09,9999-12-31,25190
173,TF1,A,2020-12-09,9999-12-31,0
174,TF1,A,2020-10-19,9999-12-31,73655
174,TS1,A,2020-10-19,9999-12-31,0
175,TS1,B,2021-10-28,2021-01-30,60524
175,TF1,B,2021-10-28,2021-01-30,0
176,TS1,B,2022-05-19,2022-06-02,86655
176,TF1,B,2022-05-19,2022-06-02,0
177,TF1,A,2021-10-30,9999-12-31,23641
177,TS1,A,2021-10-30,9999-12-31,0
178,TS1,A,2021-10-12,9999-12-31,56582
178,TF1,A,2021-10-12,9999-12-31,0
179,TS1,B,2022-05-31,2021-04-01,69237
179,TF1,B,2022-05-31,2021-04-01,0
180,TS1,B,2021-01-28,2021-06-04,28322
180,TF1,B,2021-01-28,2021-06-04,0
181,TF1,B,2021-02-24,2022-04-07,38598
181,TS1,B,2021-02-24,2022-04-07,0
182,TS1,B,2021-10-10,2020-12-04,77035
182,TF1,B,2021-10-10,2020-12-04,0
183,TS1,A,2020-11-24,9999-12-31,73236
183,TF1,A,2020-11-24,9999-12-31,0
184,TS1,A,2022-06-01,9999-12-31,81034
184,TF1,A,2022-06-01,9999-12-31,0
185,TF1,B,2021-10-01,2021-11-20,50072
185,TS1,B,2021-10-01,2021-11-20,0
186,TF1,B,2021-06-05,2021-12-07,34542
186,TS1,B,2021-06-05,2021-12-07,0
187,TF1,B,2022-05-01,2021-10-22,98657
187,TS1,B,2022-05-01,2021-10-22,0
188,TS1,A,2021-02-11,9999-12-31,4241
188,TF1,A,2021-02-11,9999-12-31,0
189,TF1,B,2021-01-28,2020-10-16,72647
189,TS1,B,2021-01-28,2020-10-16,0
190,TS1,B,2022-05-16,2021-11-19,54775
190,TF1,B,2022-05-16,2021-11-19,0
191,TS1,B,2021-08-14,2021-05-31,57177
191,TF1,B,2021-08-14,2021-05-31,0
192,TS1,A,2022-04-28,9999-12-31,8522
192,TF1,A,2022-04-28,9999-12-31,0
193,TF1,A,2020-12-14,9999-12-31,34943
193,TS1,A,2020-12-14,9999-12-31,0
194,TS1,B,2021-04-23,2021-01-09,34444
194,TF1,B,2021-04-23,2021-01-09,0
195,TF1,A,2021-05-23,9999-12-31,85696
195,TS1,A,2021-05-23,9999-12-31,0
196,TF1,A,2021-08-11,9999-12-31,47449
196,TS1,A,2021-08-11,9999-12-31,0
197,TS1,B,2022-01-04,2022-06-23,90924
197,TF1,B,2022-01-04,2022-06-23,0
198,TF1,B,2022-01-10,2021-11-20,68674
198,TS1,B,2022-01-10,2021-11-20,0
199,TF1,A,2021-05-20,9999-12-31,53743
199,TS1,A,2021-05-20,9999-12-31,0
200,TS1,B,2022-02-04,2021-02-01,69799
200,TF1,B,2022-02-04,2021-02-01,0
201,TF1,B,2021-01-06,2020-10-14,56690
201,TS1,B,2021-01-06,2020-10-14,0
202,TF1,A,2021-12-02,9999-12-31,97141
202,TS1,A,2021-12-02,9999-12-31,0
203,TS1,B,2020-11-02,2021-09-22,36089
203,TF1,B,2020-11-02,2021-09-22,0
204,TF1,B,2022-01-28,2020-11-26,87516
204,TS1,B,2022-01-28,2020-11-26,0
205,TS1,A,2021-12-02,9999-12-31,38749
205,TF1,A,2021-12-02,9999-12-31,0
206,TS1,A,2022-05-05,9999-12-31,65720
206,TF1,A,2022-05-05,9999-12-31,0
207,TF1,B,2022-03-13,2021-10-21,92587
207,TS1,B,2022-03-13,2021-10-21,0
208,TF1,A,2022-02-14,9999-12-31,80872
208,TS1,A,2022-02-14,9999-12-31,0
209,TS1,A,2022-05-14,9999-12-31,65037
209,TF1,A,2022-05-14,9999-12-31,0
210,TS1,A,2021-03-27,9999-12-31,3700
210,TF1,A,2021-03-27,9999-12-31,0
211,TS1,A,2021-04-18,9999-12-31,21233
211,TF1,A,2021-04-18,9999-12-31,0
212,TS1,A,2022-04-29,9999-12-31,27797
212,TF1,A,2022-04-29,9999-12-31,0
213,TF1,B,2022-01-15,2022-05-13,87177
213,TS1,B,2022-01-15,2022-05-13,0
214,TS1,A,2021-08-04,9999-12-31,93334
214,TF1,A,2021-08-04,9999-12-31,0
215,TF1,B,2021-04-28,2021-01-19,68310
215,TS1,B,2021-04-28,2021-01-19,0
216,TF1,A,2022-02-19,9999-12-31,73425
216,TS1,A,2022-02-19,9999-12-31,0
217,TF1,A,2021-05-03,9999-12-31,98506
217,TS1,A,2021-05-03,9999-12-31,0
218,TS1,A,2021-01-11,9999-12-31,6053
218,TF1,A,2021-01-11,9999-12-31,0
219,TS1,A,2021-10-27,9999-12-31,1847
219,TF1,A,2021-10-27,9999-12-31,0
220,TS1,B,2020-10-28,2021-02-22,21232
220,TF1,B,2020-10-28,2021-02-22,0
221,TF1,A,2021-10-09,9999-12-31,96779
221,TS1,A,2021-10-09,9999-12-31,0
222,TF1,B,2022-04-05,2021-01-19,46830
222,TS1,B,2022-04-05,2021-01-19,0
223,TS1,A,2020-12-12,9999-12-31,24041
223,TF1,A,2020-12-12,9999-12-31,0
224,TS1,B,2021-12-30,2021-07-12,15477
224,TF1,B,2021-12-30,2021-07-12,0
225,TS1,A,2021-11-16,9999-12-31,33419
225,TF1,A,2021-11-16,9999-12-31,0
226,TS1,A,2021-02-06,9999-12-31,6074
226,TF1,A,2021-02-06,9999-12-31,0
227,TS1,A,2021-07-22,9999-12-31,43716
227,TF1,A,2021-07-22,9999-12-31,0
228,TF1,A,2022-03-31,9999-12-31,1734
228,TS1,A,2022-03-31,9999-12-31,0
229,TF1,A,2020-10-30,9999-12-31,81284
229,TS1,A,2020-10-30,9999-12-31,0
230,TS1,B,2022-05-15,2021-04-11,25240
230,TF1,B,2022-05-15,2021-04-11,0
231,TF1,B,2022-03-11,2021-07-30,50096
231,TS1,B,2022-03-11,2021-07-30,0
232,TF1,A,2020-10-31,9999-12-31,58473
232,TS1,A,2020-10-31,9999-12-31,0
233,TS1,B,2021-09-01,2022-04-10,85919
233,TF1,B,2021-09-01,2022-04-10,0
234,TS1,A,2021-04-02,9999-12-31,76316
234,TF1,A,2021-04-02,9999-12-31,0
235,TF1,A,2020-11-20,9999-12-31,74017
235,TS1,A,2020-11-20,9999-12-31,0
236,TS1,B,2021-01-29,2022-05-09,84609
236,TF1,B,2021-01-29,2022-05-09,0
237,TS1,A,2022-01-25,9999-12-31,85264
237,TF1,A,2022-01-25,9999-12-31,0
238,TF1,A,2021-09-17,9999-12-31,90772
238,TS1,A,2021-09-17,9999-12-31,0
239,TF1,B,2021-05-26,2021-01-15,80576
239,TS1,B,2021-05-26,2021-01-15,0
240,TF1,B,2021-11-15,2021-05-29,22428
240,TS1,B,2021-11-15,2021-05-29,0
241,TS1,B,2021-08-30,2021-01-12,92554
241,TF1,B,2021-08-30,2021-01-12,0
242,TS1,A,2020-12-20,9999-12-31,36057
242,TF1,A,2020-12-20,9999-12-31,0
243,TF1,A,2021-01-05,9999-12-31,33591
243,TS1,A,2021-01-05,9999-12-31,0
244,TS1,B,2021-10-29,2022-01-01,77433
244,TF1,B,2021-10-29,2022-01-01,0
245,TF1,B,2021-03-16,2020-10-24,14767
245,TS1,B,2021-03-16,2020-10-24,0
246,TF1,A,2021-03-19,9999-12-31,40739
246,TS1,A,2021-03-19,9999-12-31,0
247,TF1,B,2021-10-08,2021-11-20,14669
247,TS1,B,2021-10-08,2021-11-20,0
248,TS1,A,2022-06-23,9999-12-31,42185
248,TF1,A,2022-06-23,9999-12-31,0
249,TF1,A,2020-12-22,9999-12-31,63004
249,TS1,A,2020-12-22,9999-12-31,0
250,TS1,B,2021-12-06,2021-01-21,40111
250,TF1,B,2021-12-06,2021-01-21,0
251,TF1,A,2021-09-21,9999-12-31,54671
251,TS1,A,2021-09-21,9999-12-31,0
252,TF1,A,2022-01-28,9999-12-31,66362
252,TS1,A,2022-01-28,9999-12-31,0
253,TF1,B,2021-06-07,2022-01-20,82596
253,TS1,B,2021-06-07,2022-01-20,0
254,TS1,B,2022-02-02,2021-09-06,97546
254,TF1,B,2022-02-02,2021-09-06,0
255,TF1,B,2021-11-29,2022-01-28,50114
255,TS1,B,2021-11-29,2022-01-28,0
256,TF1,A,2022-03-18,9999-12-31,25155
256,TS1,A,2022-03-18,9999-12-31,0
257,TF1,B,2021-08-10,2020-10-19,36858
257,TS1,B,2021-08-10,2020-10-19,0
258,TF1,B,2021-07-23,2020-12-12,46360
258,TS1,B,2021-07-23,2020-12-12,0
259,TF1,B,2021-11-21,2021-07-02,31090
259,TS1,B,2021-11-21,2021-07-02,0
260,TS1,A,2021-10-27,9999-12-31,54627
260,TF1,A,2021-10-27,9999-12-31,0
261,TS1,B,2022-01-15,2021-04-03,90881
261,TF1,B,2022-01-15,2021-04-03,0
262,TF1,A,2022-03-04,9999-12-31,71421
262,TS1,A,2022-03-04,9999-12-31,0
263,TS1,B,2021-01-15,2021-07-01,37557
263,TF1,B,2021-01-15,2021-07-01,0
264,TF1,A,2021-06-10,9999-12-31,78901
264,TS1,A,2021-06-10,9999-12-31,0
265,TF1,A,2021-02-07,9999-12-31,37498
265,TS1,A,2021-02-07,9999-12-31,0
266,TF1,B,2022-06-20,2022-01-09,49438
266,TS1,B,2022-06-20,2022-01-09,0
267,TS1,B,2022-05-29,2021-03-07,89055
267,TF1,B,2022-05-29,2021-03-07,0
268,TF1,B,2021-09-13,2022-03-30,49864
268,TS1,B,2021-09-13,2022-03-30,0
269,TF1,B,2022-01-16,2022-01-19,74614
269,TS1,B,2022-01-16,2022-01-19,0
270,TF1,B,2021-08-03,2021-10-02,81722
270,TS1,B,2021-08-03,2021-10-02,0
271,TS1,A,2021-08-02,9999-12-31,29234
271,TF1,A,2021-08-02,9999-12-31,0
272,TF1,B,2022-05-06,2021-10-07,36508
272,TS1,B,2022-05-06,2021-10-07,0
273,TF1,A,2021-12-06,9999-12-31,49410
273,TS1,A,2021-12-06,9999-12-31,0
274,TS1,B,2021-01-01,2022-01-28,31507
274,TF1,B,2021-01-01,2022-01-28,0
275,TF1,B,2021-04-04,2022-06-01,44400
275,TS1,B,2021-04-04,2022-06-01,0
276,TF1,A,2020-11-10,9999-12-31,5640
276,TS1,A,2020-11-10,9999-12-31,0
277,TF1,B,2020-11-05,2020-10-14,80984
277,TS1,B,2020-11-05,2020-10-14,0
278,TS1,B,2022-06-07,2020-12-14,24329
278,TF1,B,2022-06-07,2020-12-14,0
279,TF1,A,2021-04-24,9999-12-31,29212
279,TS1,A,2021-04-24,9999-12-31,0
280,TF1,A,2022-02-17,9999-12-31,26558
280,TS1,A,2022-02-17,9999-12-31,0
281,TF1,B,2021-06-10,2022-02-21,39667
281,TS1,B,2021-06-10,2022-02-21,0
282,TF1,B,2021-01-10,2021-08-15,85099
282,TS1,B,2021-01-10,2021-08-15,0
283,TF1,A,2020-12-09,9999-12-31,31246
283,TS1,A,2020-12-09,9999-12-31,0
284,TS1,A,2021-03-01,9999-12-31,84109
284,TF1,A,2021-03-01,9999-12-31,0
