numpoliza,pol_estado,fecha_efecto,fecha_sol,fecha_vencimiento,forma_pago,fecha_baja,causa_baja,fecha_suspension,causa_suspen
44,PS,2022-06-19,2022-06-18,2026-02-17,M,9999-12-31, ,2022-06-23,CL
45,PV,2021-07-04,2021-07-03,2027-12-27,A,9999-12-31, ,9999-12-31, 
46,PS,2021-12-14,2021-12-13,2027-04-04,A,9999-12-31, ,2022-06-25,FP
47,PS,2022-03-07,2022-03-06,2029-08-22,M,9999-12-31, ,2022-05-07,CL
48,PV,2021-04-06,2021-04-05,2027-02-14,U,9999-12-31, ,9999-12-31, 
49,PA,2022-02-11,2022-02-10,2026-02-27,M,2022-06-21,CL,9999-12-31, 
50,PV,2021-07-04,2021-07-03,2030-06-04,S,9999-12-31, ,9999-12-31, 
51,PV,2021-06-18,2021-06-17,2029-03-08,T,9999-12-31, ,9999-12-31, 
52,PV,2021-06-07,2021-06-06,2025-10-12,U,9999-12-31, ,9999-12-31, 
53,PA,2021-09-27,2021-09-26,2022-07-12,M,2021-12-28,CL,9999-12-31, 
54,PA,2021-06-24,2021-06-23,2030-05-07,U,2021-08-22,FA,9999-12-31, 
55,PV,2021-11-04,2021-11-03,2028-06-08,S,9999-12-31, ,9999-12-31, 
56,PA,2021-03-11,2021-03-10,2027-05-06,A,2022-03-20,FP,9999-12-31, 
57,PS,2021-08-26,2021-08-25,2023-01-04,A,9999-12-31, ,2022-04-04,FP
58,PA,2021-12-27,2021-12-26,2023-09-13,T,2022-02-08,FP,9999-12-31, 
59,PS,2021-07-24,2021-07-23,2026-01-03,M,9999-12-31, ,2022-03-10,FP
60,PS,2021-01-27,2021-01-26,2027-06-12,A,9999-12-31, ,2021-05-12,CL
61,PV,2021-03-26,2021-03-25,2029-09-02,S,9999-12-31, ,9999-12-31, 
62,PA,2021-10-12,2021-10-11,2022-05-08,S,2022-05-05,CL,9999-12-31, 
63,PS,2021-08-28,2021-08-27,2024-08-10,S,9999-12-31, ,2021-12-10,FP
64,PA,2021-09-10,2021-09-09,2027-07-02,M,2022-05-14,FA,9999-12-31, 
65,PS,2021-09-22,2021-09-21,2025-09-29,A,9999-12-31, ,2022-02-15,CL
66,PV,2022-05-13,2022-05-12,2027-03-13,S,9999-12-31, ,9999-12-31, 
67,PS,2022-03-18,2022-03-17,2028-01-31,M,9999-12-31, ,2022-05-31,CL
68,PS,2022-03-21,2022-03-20,2029-11-21,T,9999-12-31, ,2022-04-07,FP
69,PV,2020-10-16,2020-10-15,2023-10-11,M,9999-12-31, ,9999-12-31, 
70,PS,2022-06-23,2022-06-22,2028-07-27,S,9999-12-31, ,2022-06-29,FP
71,PA,2022-04-13,2022-04-12,2028-04-06,A,2022-07-05,CL,9999-12-31, 
72,PS,2021-08-12,2021-08-11,2028-01-12,A,9999-12-31, ,2022-02-01,FP
73,PA,2021-04-15,2021-04-14,2029-12-17,M,2021-11-29,CL,9999-12-31, 
74,PA,2021-10-22,2021-10-21,2027-04-28,T,2022-05-15,FA,9999-12-31, 
75,PS,2021-11-09,2021-11-08,2029-06-29,A,9999-12-31, ,2022-04-12,CL
76,PA,2022-05-15,2022-05-14,2029-06-16,A,2022-06-15,CL,9999-12-31, 
77,PV,2021-10-27,2021-10-26,2026-11-25,S,9999-12-31, ,9999-12-31, 
78,PV,2022-06-28,2022-06-27,2029-03-29,T,9999-12-31, ,9999-12-31, 
79,PS,2022-02-14,2022-02-13,2025-10-03,S,9999-12-31, ,2022-05-18,CL
80,PS,2021-04-08,2021-04-07,2025-02-08,A,9999-12-31, ,2022-04-29,FP
81,PV,2021-04-17,2021-04-16,2028-04-12,T,9999-12-31, ,9999-12-31, 
82,PS,2021-04-17,2021-04-16,2026-09-12,T,9999-12-31, ,2022-03-12,CL
83,PS,2022-04-23,2022-04-22,2030-05-21,U,9999-12-31, ,2022-06-09,FP
84,PA,2021-02-01,2021-01-31,2025-11-07,S,2022-07-01,TR,9999-12-31, 
85,PA,2021-07-12,2021-07-11,2024-11-15,S,2021-09-12,TR,9999-12-31, 
86,PV,2021-10-08,2021-10-07,2023-06-11,A,9999-12-31, ,9999-12-31, 
87,PA,2022-01-21,2022-01-20,2028-01-20,M,2022-03-04,TR,9999-12-31, 
88,PS,2021-04-05,2021-04-04,2026-03-01,T,9999-12-31, ,2022-03-05,CL
89,PA,2022-04-28,2022-04-27,2023-08-13,A,2022-06-13,TR,9999-12-31, 
90,PA,2021-03-21,2021-03-20,2028-04-30,T,2022-02-04,CL,9999-12-31, 
91,PS,2022-01-03,2022-01-02,2024-10-24,T,9999-12-31, ,2022-06-10,FP
92,PS,2022-04-20,2022-04-19,2029-10-30,T,9999-12-31, ,2022-05-06,CL
93,PV,2020-11-19,2020-11-18,2030-03-20,S,9999-12-31, ,9999-12-31, 
94,PS,2020-11-06,2020-11-05,2022-06-13,M,9999-12-31, ,2022-01-18,FP
95,PA,2020-11-16,2020-11-15,2021-05-10,T,2021-11-10,FP,9999-12-31, 
96,PS,2022-05-17,2022-05-16,2022-07-28,M,9999-12-31, ,2022-06-17,FP
97,PS,2020-10-15,2020-10-14,2022-05-21,U,9999-12-31, ,2021-01-21,FP
98,PV,2021-12-26,2021-12-25,2026-05-21,S,9999-12-31, ,9999-12-31, 
99,PV,2020-12-08,2020-12-07,2028-02-05,T,9999-12-31, ,9999-12-31, 
100,PS,2022-01-04,2022-01-03,2022-11-26,T,9999-12-31, ,2022-05-14,CL
101,PS,2022-03-03,2022-03-02,2022-05-19,A,9999-12-31, ,2022-06-23,CL
102,PV,2020-11-14,2020-11-13,2021-09-02,T,9999-12-31, ,9999-12-31, 
103,PV,2021-04-11,2021-04-10,2027-10-02,T,9999-12-31, ,9999-12-31, 
104,PV,2021-09-04,2021-09-03,2023-09-02,S,9999-12-31, ,9999-12-31, 
105,PV,2021-11-30,2021-11-29,2025-01-03,M,9999-12-31, ,9999-12-31, 
106,PS,2021-05-11,2021-05-10,2027-06-14,T,9999-12-31, ,2021-10-16,FP
107,PA,2021-05-15,2021-05-14,2023-12-24,U,2021-09-20,CL,9999-12-31, 
108,PS,2021-10-06,2021-10-05,2024-02-03,A,9999-12-31, ,2021-11-28,CL
109,PV,2021-12-05,2021-12-04,2022-02-16,T,9999-12-31, ,9999-12-31, 
110,PS,2020-12-19,2020-12-18,2024-05-06,U,9999-12-31, ,2021-10-21,CL
111,PA,2021-06-10,2021-06-09,2027-11-10,M,2021-11-16,CL,9999-12-31, 
112,PV,2022-03-21,2022-03-20,2022-08-21,T,9999-12-31, ,9999-12-31, 
113,PS,2020-11-10,2020-11-09,2028-01-20,S,9999-12-31, ,2021-11-19,CL
114,PA,2021-04-12,2021-04-11,2026-01-05,U,2021-10-05,FA,9999-12-31, 
115,PA,2020-11-26,2020-11-25,2026-09-10,M,2021-06-20,FP,9999-12-31, 
116,PS,2021-08-02,2021-08-01,2021-11-27,S,9999-12-31, ,2021-10-11,CL
117,PS,2021-01-13,2021-01-12,2025-05-03,M,9999-12-31, ,2022-05-31,CL
118,PS,2022-06-09,2022-06-08,2027-02-04,U,9999-12-31, ,2022-06-19,FP
119,PS,2022-03-10,2022-03-09,2030-04-18,S,9999-12-31, ,2022-04-29,FP
120,PA,2021-12-23,2021-12-22,2022-06-10,S,2022-05-19,FA,9999-12-31, 
121,PA,2021-02-15,2021-02-14,2029-05-15,M,2021-07-31,FA,9999-12-31, 
122,PS,2021-03-19,2021-03-18,2030-01-12,U,9999-12-31, ,2022-05-05,CL
123,PS,2021-03-28,2021-03-27,2024-02-19,U,9999-12-31, ,2022-04-01,FP
124,PV,2021-02-01,2021-01-31,2030-05-18,T,9999-12-31, ,9999-12-31, 
125,PS,2021-10-18,2021-10-17,2027-10-11,T,9999-12-31, ,2021-11-19,CL
126,PV,2021-12-24,2021-12-23,2028-10-05,A,9999-12-31, ,9999-12-31, 
127,PA,2021-08-13,2021-08-12,2029-11-03,M,2021-11-04,TR,9999-12-31, 
128,PV,2020-10-24,2020-10-23,2022-04-21,T,9999-12-31, ,9999-12-31, 
129,PS,2021-04-26,2021-04-25,2021-06-18,U,9999-12-31, ,2022-05-28,CL
130,PS,2022-03-24,2022-03-23,2027-09-16,S,9999-12-31, ,2022-05-30,FP
131,PA,2022-03-03,2022-03-02,2029-11-21,M,2022-06-27,CL,9999-12-31, 
132,PS,2020-11-07,2020-11-06,2030-06-16,T,9999-12-31, ,2022-04-02,CL
133,PV,2021-06-19,2021-06-18,2022-06-13,T,9999-12-31, ,9999-12-31, 
134,PS,2021-06-18,2021-06-17,2027-11-23,U,9999-12-31, ,2022-01-26,FP
135,PS,2021-09-13,2021-09-12,2028-12-08,T,9999-12-31, ,2022-01-31,FP
136,PA,2021-04-16,2021-04-15,2022-06-07,A,2022-05-26,FP,9999-12-31, 
137,PA,2021-03-17,2021-03-16,2027-05-09,U,2021-04-03,FP,9999-12-31, 
138,PS,2021-01-30,2021-01-29,2030-04-02,S,9999-12-31, ,2021-08-26,FP
139,PS,2021-07-28,2021-07-27,2028-11-25,A,9999-12-31, ,2022-01-11,FP
140,PA,2022-04-15,2022-04-14,2022-05-26,U,2022-04-16,CL,9999-12-31, 
141,PA,2021-06-13,2021-06-12,2030-04-01,T,2022-03-11,TR,9999-12-31, 
142,PS,2021-01-07,2021-01-06,2029-01-16,U,9999-12-31, ,2021-10-27,FP
143,PS,2021-11-10,2021-11-09,2027-04-10,T,9999-12-31, ,2022-02-01,FP
144,PV,2022-06-13,2022-06-12,2027-07-07,M,9999-12-31, ,9999-12-31, 
145,PA,2021-05-27,2021-05-26,2026-09-23,A,2021-06-02,FA,9999-12-31, 
146,PV,2022-05-16,2022-05-15,2023-09-15,S,9999-12-31, ,9999-12-31, 
147,PS,2021-09-17,2021-09-16,2027-01-14,M,9999-12-31, ,2021-11-29,CL
148,PA,2021-05-28,2021-05-27,2024-02-02,A,2021-07-26,FA,9999-12-31, 
149,PV,2022-01-13,2022-01-12,2029-10-09,U,9999-12-31, ,9999-12-31, 
150,PA,2020-12-19,2020-12-18,2022-02-10,M,2021-04-04,TR,9999-12-31, 
151,PA,2022-04-18,2022-04-17,2030-04-06,T,2022-07-05,FP,9999-12-31, 
152,PS,2021-01-22,2021-01-21,2030-06-04,A,9999-12-31, ,2021-06-18,FP
153,PS,2021-06-05,2021-06-04,2022-04-20,U,9999-12-31, ,2021-12-25,CL
154,PS,2022-03-09,2022-03-08,2030-02-07,M,9999-12-31, ,2022-03-16,CL
155,PV,2021-05-22,2021-05-21,2026-08-23,A,9999-12-31, ,9999-12-31, 
156,PS,2022-03-08,2022-03-07,2022-03-31,T,9999-12-31, ,2022-06-29,CL
157,PS,2021-07-23,2021-07-22,2026-04-03,T,9999-12-31, ,2022-05-26,CL
158,PS,2021-05-02,2021-05-01,2022-12-28,S,9999-12-31, ,2021-09-17,CL
159,PS,2022-05-30,2022-05-29,2028-06-19,S,9999-12-31, ,2022-06-06,CL
160,PV,2022-03-10,2022-03-09,2024-04-09,U,9999-12-31, ,9999-12-31, 
161,PV,2021-09-22,2021-09-21,2024-07-14,T,9999-12-31, ,9999-12-31, 
162,PS,2021-11-10,2021-11-09,2027-04-01,U,9999-12-31, ,2021-12-20,CL
163,PS,2022-01-25,2022-01-24,2024-10-18,U,9999-12-31, ,2022-05-19,FP
164,PV,2022-05-07,2022-05-06,2024-10-04,T,9999-12-31, ,9999-12-31, 
165,PV,2022-05-23,2022-05-22,2030-03-18,S,9999-12-31, ,9999-12-31, 
166,PS,2022-04-17,2022-04-16,2028-10-05,S,9999-12-31, ,2022-05-13,CL
167,PA,2021-03-09,2021-03-08,2025-06-17,S,2022-01-25,FP,9999-12-31, 
168,PA,2022-01-20,2022-01-19,2024-10-22,A,2022-04-15,CL,9999-12-31, 
169,PA,2021-07-09,2021-07-08,2027-09-12,M,2021-07-18,FP,9999-12-31, 
170,PS,2022-01-02,2022-01-01,2022-12-26,S,9999-12-31, ,2022-07-03,CL
171,PS,2021-03-02,2021-03-01,2027-10-18,T,9999-12-31, ,2022-06-04,CL
172,PV,2021-09-24,2021-09-23,2030-04-18,U,9999-12-31, ,9999-12-31, 
173,PS,2022-05-22,2022-05-21,2029-02-20,T,9999-12-31, ,2022-06-14,FP
174,PS,2021-09-30,2021-09-29,2026-08-01,S,9999-12-31, ,2022-04-03,FP
175,PV,2021-02-19,2021-02-18,2027-11-22,S,9999-12-31, ,9999-12-31, 
176,PS,2021-05-31,2021-05-30,2028-07-05,M,9999-12-31, ,2022-05-02,FP
177,PS,2022-05-17,2022-05-16,2026-12-03,T,9999-12-31, ,2022-06-25,CL
178,PA,2021-06-27,2021-06-26,2025-12-28,U,2022-04-23,CL,9999-12-31, 
179,PV,2021-12-19,2021-12-18,2029-07-09,M,9999-12-31, ,9999-12-31, 
180,PS,2021-05-31,2021-05-30,2023-08-13,A,9999-12-31, ,2021-07-11,CL
181,PS,2021-07-11,2021-07-10,2027-03-29,A,9999-12-31, ,2021-08-11,FP
182,PA,2021-07-05,2021-07-04,2027-06-28,A,2021-07-23,FA,9999-12-31, 
183,PA,2021-08-29,2021-08-28,2025-05-15,S,2022-01-27,FP,9999-12-31, 
184,PV,2021-09-07,2021-09-06,2030-06-16,A,9999-12-31, ,9999-12-31, 
185,PV,2021-03-26,2021-03-25,2026-07-13,U,9999-12-31, ,9999-12-31, 
186,PV,2021-06-22,2021-06-21,2022-09-29,T,9999-12-31, ,9999-12-31, 
187,PA,2022-04-17,2022-04-16,2026-01-24,M,2022-06-06,FA,9999-12-31, 
188,PS,2021-10-19,2021-10-18,2026-06-22,A,9999-12-31, ,2022-06-28,CL
189,PS,2022-03-04,2022-03-03,2029-09-01,U,9999-12-31, ,2022-07-01,CL
190,PV,2021-09-04,2021-09-03,2029-11-21,U,9999-12-31, ,9999-12-31, 
191,PV,2021-04-02,2021-04-01,2029-05-31,S,9999-12-31, ,9999-12-31, 
192,PS,2021-05-01,2021-04-30,2024-05-12,T,9999-12-31, ,2022-02-03,CL
193,PV,2022-01-07,2022-01-06,2024-05-23,A,9999-12-31, ,9999-12-31, 
194,PS,2021-04-25,2021-04-24,2028-05-18,U,9999-12-31, ,2022-01-06,FP
195,PS,2021-10-05,2021-10-04,2023-06-29,M,9999-12-31, ,2021-12-16,FP
196,PS,2022-04-29,2022-04-28,2026-04-29,U,9999-12-31, ,2022-06-21,CL
197,PV,2021-09-10,2021-09-09,2030-05-09,U,9999-12-31, ,9999-12-31, 
198,PV,2020-12-31,2020-12-30,2027-08-26,T,9999-12-31, ,9999-12-31, 
199,PA,2022-06-21,2022-06-20,2024-10-16,U,2022-06-23,TR,9999-12-31, 
200,PV,2021-05-06,2021-05-05,2028-02-28,A,9999-12-31, ,9999-12-31, 
201,PA,2021-04-02,2021-04-01,2029-05-01,M,2022-05-11,FA,9999-12-31, 
202,PV,2021-08-06,2021-08-05,2022-03-22,U,9999-12-31, ,9999-12-31, 
203,PS,2021-06-27,2021-06-26,2026-06-13,T,9999-12-31, ,2021-08-13,CL
204,PS,2022-01-15,2022-01-14,2022-01-24,S,9999-12-31, ,2022-04-29,FP
205,PV,2022-02-02,2022-02-01,2027-05-02,S,9999-12-31, ,9999-12-31, 
206,PA,2021-03-08,2021-03-07,2029-09-03,A,2022-05-03,CL,9999-12-31, 
207,PA,2022-05-19,2022-05-18,2024-12-07,T,2022-06-08,TR,9999-12-31, 
208,PA,2021-03-18,2021-03-17,2027-09-07,T,2021-08-07,FP,9999-12-31, 
209,PV,2022-07-02,2022-07-01,2024-08-28,M,9999-12-31, ,9999-12-31, 
210,PA,2022-01-27,2022-01-26,2029-02-17,U,2022-05-17,FP,9999-12-31, 
211,PA,2021-03-21,2021-03-20,2026-09-20,A,2021-07-10,TR,9999-12-31, 
212,PA,2021-02-28,2021-02-27,2029-08-23,A,2021-06-21,FA,9999-12-31, 
213,PV,2022-01-25,2022-01-24,2022-07-03,S,9999-12-31, ,9999-12-31, 
214,PA,2020-10-27,2020-10-26,2025-02-05,A,2022-01-06,TR,9999-12-31, 
215,PV,2021-05-05,2021-05-04,2025-01-11,U,9999-12-31, ,9999-12-31, 
216,PS,2020-11-08,2020-11-07,2027-11-01,U,9999-12-31, ,2021-04-11,FP
217,PA,2020-11-15,2020-11-14,2025-03-27,S,2022-03-18,FP,9999-12-31, 
218,PV,2021-04-18,2021-04-17,2023-01-18,T,9999-12-31, ,9999-12-31, 
219,PS,2021-07-11,2021-07-10,2025-09-02,M,9999-12-31, ,2022-02-03,FP
220,PV,2021-03-25,2021-03-24,2028-02-11,T,9999-12-31, ,9999-12-31, 
221,PA,2021-03-02,2021-03-01,2028-04-26,T,2021-04-01,CL,9999-12-31, 
222,PA,2020-11-07,2020-11-06,2028-09-16,S,2021-04-05,TR,9999-12-31, 
223,PS,2022-06-22,2022-06-21,2027-10-23,T,9999-12-31, ,2022-06-26,FP
224,PV,2021-02-16,2021-02-15,2023-12-16,M,9999-12-31, ,9999-12-31, 
225,PV,2022-02-17,2022-02-16,2029-05-05,S,9999-12-31, ,9999-12-31, 
226,PV,2021-07-13,2021-07-12,2024-02-13,U,9999-12-31, ,9999-12-31, 
227,PA,2021-11-18,2021-11-17,2030-02-25,T,2022-05-13,TR,9999-12-31, 
228,PV,2022-03-06,2022-03-05,2029-01-21,A,9999-12-31, ,9999-12-31, 
229,PS,2022-04-07,2022-04-06,2024-01-26,M,9999-12-31, ,2022-06-07,FP
230,PA,2020-12-04,2020-12-03,2021-04-22,A,2022-02-18,FA,9999-12-31, 
231,PV,2022-05-13,2022-05-12,2024-07-31,T,9999-12-31, ,9999-12-31, 
232,PV,2021-05-11,2021-05-10,2027-01-30,T,9999-12-31, ,9999-12-31, 
233,PA,2021-09-27,2021-09-26,2029-01-15,S,2022-06-05,TR,9999-12-31, 
234,PS,2022-01-21,2022-01-20,2030-01-12,T,9999-12-31, ,2022-03-27,CL
235,PA,2021-09-20,2021-09-19,2025-05-02,S,2022-01-04,FP,9999-12-31, 
236,PA,2021-05-05,2021-05-04,2026-04-21,T,2022-04-21,CL,9999-12-31, 
237,PS,2020-11-16,2020-11-15,2029-07-11,U,9999-12-31, ,2021-01-20,FP
238,PA,2021-09-03,2021-09-02,2023-11-26,M,2022-03-22,TR,9999-12-31, 
239,PV,2021-11-11,2021-11-10,2024-12-01,S,9999-12-31, ,9999-12-31, 
240,PS,2021-09-06,2021-09-05,2028-12-30,A,9999-12-31, ,2021-11-14,FP
241,PV,2021-07-25,2021-07-24,2026-07-20,M,9999-12-31, ,9999-12-31, 
242,PS,2021-12-24,2021-12-23,2029-07-06,A,9999-12-31, ,2022-01-15,CL
243,PV,2021-02-15,2021-02-14,2021-09-06,T,9999-12-31, ,9999-12-31, 
244,PS,2022-01-02,2022-01-01,2029-09-30,U,9999-12-31, ,2022-06-21,FP
245,PV,2021-12-04,2021-12-03,2022-08-11,U,9999-12-31, ,9999-12-31, 
246,PA,2021-03-11,2021-03-10,2028-12-11,A,2021-04-08,TR,9999-12-31, 
247,PS,2021-10-28,2021-10-27,2022-07-30,U,9999-12-31, ,2022-01-14,CL
248,PS,2020-10-17,2020-10-16,2023-03-31,A,9999-12-31, ,2022-02-12,FP
249,PA,2022-05-27,2022-05-26,2029-12-29,S,2022-06-21,CL,9999-12-31, 
250,PV,2022-02-26,2022-02-25,2022-04-18,M,9999-12-31, ,9999-12-31, 
251,PV,2021-01-15,2021-01-14,2029-03-31,U,9999-12-31, ,9999-12-31, 
252,PV,2022-02-10,2022-02-09,2022-12-18,U,9999-12-31, ,9999-12-31, 
253,PV,2020-12-25,2020-12-24,2028-09-14,A,9999-12-31, ,9999-12-31, 
254,PA,2021-07-17,2021-07-16,2026-02-25,U,2021-12-09,FP,9999-12-31, 
255,PS,2021-07-06,2021-07-05,2023-06-20,M,9999-12-31, ,2021-12-04,FP
256,PA,2020-10-24,2020-10-23,2022-05-03,M,2021-02-09,FA,9999-12-31, 
257,PA,2021-03-17,2021-03-16,2027-03-29,M,2022-02-23,TR,9999-12-31, 
258,PS,2021-01-21,2021-01-20,2030-06-17,U,9999-12-31, ,2021-09-24,CL
259,PV,2021-11-04,2021-11-03,2029-08-16,U,9999-12-31, ,9999-12-31, 
260,PV,2021-09-02,2021-09-01,2029-10-12,U,9999-12-31, ,9999-12-31, 
261,PV,2021-04-22,2021-04-21,2023-03-10,M,9999-12-31, ,9999-12-31, 
262,PS,2021-05-21,2021-05-20,2027-05-28,S,9999-12-31, ,2021-12-16,FP
263,PS,2022-05-07,2022-05-06,2022-05-19,U,9999-12-31, ,2022-05-15,CL
264,PA,2020-12-16,2020-12-15,2024-09-08,U,2021-10-19,FA,9999-12-31, 
265,PV,2021-02-23,2021-02-22,2023-10-12,A,9999-12-31, ,9999-12-31, 
266,PS,2021-07-03,2021-07-02,2022-10-23,M,9999-12-31, ,2021-12-07,CL
267,PA,2021-11-22,2021-11-21,2030-01-22,M,2022-05-20,CL,9999-12-31, 
268,PS,2021-06-10,2021-06-09,2024-02-24,M,9999-12-31, ,2021-11-26,CL
269,PA,2021-01-02,2021-01-01,2022-06-23,S,2021-06-19,TR,9999-12-31, 
270,PA,2022-06-08,2022-06-07,2023-03-27,U,2022-07-03,FP,9999-12-31, 
271,PS,2022-04-20,2022-04-19,2023-05-08,A,9999-12-31, ,2022-05-16,FP
272,PV,2021-03-26,2021-03-25,2022-12-23,S,9999-12-31, ,9999-12-31, 
273,PV,2021-01-10,2021-01-09,2026-10-12,U,9999-12-31, ,9999-12-31, 
274,PV,2021-03-24,2021-03-23,2023-03-13,T,9999-12-31, ,9999-12-31, 
275,PS,2021-11-25,2021-11-24,2025-05-28,M,9999-12-31, ,2021-12-12,FP
276,PA,2021-04-15,2021-04-14,2025-02-25,T,2021-12-23,TR,9999-12-31, 
277,PS,2022-02-17,2022-02-16,2028-09-02,U,9999-12-31, ,2022-05-25,FP
278,PS,2022-04-27,2022-04-26,2025-04-23,A,9999-12-31, ,2022-05-07,CL
279,PA,2022-01-05,2022-01-04,2028-08-28,A,2022-07-04,FA,9999-12-31, 
280,PS,2021-06-10,2021-06-09,2029-04-23,S,9999-12-31, ,2021-10-07,FP
281,PA,2020-11-11,2020-11-10,2020-12-29,U,2021-04-21,FP,9999-12-31, 
282,PV,2021-08-19,2021-08-18,2029-09-16,U,9999-12-31, ,9999-12-31, 
283,PS,2022-06-11,2022-06-10,2024-06-29,S,9999-12-31, ,2022-06-14,FP
284,PS,2022-05-24,2022-05-23,2024-05-10,A,9999-12-31, ,2022-06-08,FP
285,PA,2021-05-20,2021-05-19,2024-11-14,A,2022-03-30,TR,9999-12-31, 
286,PS,2021-05-23,2021-05-22,2024-10-04,T,9999-12-31, ,2022-04-19,FP
287,PV,2021-02-23,2021-02-22,2021-02-27,M,9999-12-31, ,9999-12-31, 
288,PS,2021-02-25,2021-02-24,2024-10-22,T,9999-12-31, ,2021-09-07,CL
289,PV,2021-09-01,2021-08-31,2022-08-26,A,9999-12-31, ,9999-12-31, 
290,PA,2021-03-29,2021-03-28,2023-03-20,T,2021-10-01,CL,9999-12-31, 
291,PS,2020-12-12,2020-12-11,2025-10-21,S,9999-12-31, ,2021-02-04,CL
292,PS,2020-10-13,2020-10-12,2024-10-05,S,9999-12-31, ,2022-02-28,CL
293,PS,2022-01-10,2022-01-09,2024-04-26,M,9999-12-31, ,2022-06-07,FP
294,PA,2022-02-01,2022-01-31,2022-05-04,A,2022-06-24,FP,9999-12-31, 
295,PS,2022-01-30,2022-01-29,2028-04-05,U,9999-12-31, ,2022-05-12,CL
296,PS,2021-06-16,2021-06-15,2022-11-21,M,9999-12-31, ,2021-12-18,CL
