idcliente,numpoliza,tipo_intervencio,estado,fecha_alta,fecha_baja,orden_inter
101,101,TO,A,2022-06-25,2021-02-28,1
102,102,TO,A,2021-01-17,2022-04-22,1
103,103,TO,A,2021-04-16,2020-12-31,1
104,104,TO,B,2022-07-05,9999-12-31,1
105,105,TO,B,2021-01-18,9999-12-31,1
106,106,TO,B,2021-10-23,9999-12-31,1
107,107,TO,A,2021-03-25,2021-03-18,1
108,108,TO,B,2022-03-08,9999-12-31,1
109,109,TO,A,2021-10-24,2021-04-26,1
110,110,TO,A,2022-01-30,2021-12-19,1
111,111,TO,A,2020-10-20,2020-12-27,1
112,112,TO,A,2022-04-03,2021-10-11,1
113,113,TO,A,2021-04-19,2020-11-04,1
114,114,TO,B,2022-04-03,9999-12-31,1
115,115,TO,B,2021-08-07,9999-12-31,1
116,116,TO,A,2022-03-31,2022-03-27,1
117,117,TO,B,2021-11-15,9999-12-31,1
118,118,TO,A,2021-12-04,2021-11-18,1
119,119,TO,B,2021-03-22,9999-12-31,1
120,120,TO,B,2021-12-02,9999-12-31,1
121,121,TO,B,2021-07-27,9999-12-31,1
122,122,TO,A,2021-01-22,2022-03-20,1
123,123,TO,A,2020-10-13,2022-04-11,1
124,124,TO,B,2021-06-26,9999-12-31,1
125,125,TO,A,2021-08-05,2021-11-18,1
126,126,TO,A,2021-03-30,2021-01-09,1
127,127,TO,A,2021-10-28,2022-06-01,1
128,128,TO,A,2020-10-31,2022-03-18,1
129,129,TO,B,2022-06-15,9999-12-31,1
130,130,TO,B,2021-03-15,9999-12-31,1
131,131,TO,A,2022-02-08,2022-03-15,1
132,132,TO,A,2021-02-12,2021-06-10,1
133,133,TO,B,2021-09-08,9999-12-31,1
134,134,TO,B,2021-12-12,9999-12-31,1
135,135,TO,B,2022-02-21,9999-12-31,1
136,136,TO,A,2022-05-27,2021-11-10,1
137,137,TO,A,2021-06-24,2021-10-10,1
138,138,TO,B,2021-01-22,9999-12-31,1
139,139,TO,A,2021-03-30,2021-09-12,1
140,140,TO,B,2022-03-14,9999-12-31,1
141,141,TO,B,2021-02-05,9999-12-31,1
142,142,TO,A,2021-11-11,2022-06-18,1
143,143,TO,B,2021-02-20,9999-12-31,1
144,144,TO,B,2021-12-22,9999-12-31,1
145,145,TO,B,2021-12-19,9999-12-31,1
146,146,TO,B,2022-01-19,9999-12-31,1
147,147,TO,A,2021-11-23,2020-11-03,1
148,148,TO,B,2021-08-03,9999-12-31,1
149,149,TO,A,2020-11-12,2020-10-24,1
150,150,TO,B,2021-12-05,9999-12-31,1
151,151,TO,B,2022-03-08,9999-12-31,1
152,152,TO,B,2021-12-31,9999-12-31,1
153,153,TO,B,2021-01-26,9999-12-31,1
154,154,TO,A,2020-10-21,2021-02-06,1
155,155,TO,A,2021-04-09,2021-05-20,1
156,156,TO,B,2021-04-26,9999-12-31,1
157,157,TO,B,2022-05-14,9999-12-31,1
158,158,TO,A,2021-08-25,2021-05-31,1
159,159,TO,A,2021-08-21,2021-06-30,1
160,160,TO,A,2021-09-24,2022-04-13,1
161,161,TO,A,2021-04-22,2021-11-12,1
162,162,TO,A,2022-04-29,2021-06-03,1
163,163,TO,A,2021-08-05,2022-03-06,1
164,164,TO,A,2021-11-05,2022-02-26,1
165,165,TO,B,2021-02-21,9999-12-31,1
166,166,TO,A,2021-06-15,2022-02-02,1
167,167,TO,A,2021-12-23,2022-02-08,1
168,168,TO,B,2021-03-08,9999-12-31,1
169,169,TO,A,2021-08-18,2021-04-24,1
170,170,TO,B,2022-05-16,9999-12-31,1
171,171,TO,A,2022-03-10,2021-12-29,1
172,172,TO,B,2020-11-14,9999-12-31,1
173,173,TO,B,2022-04-09,9999-12-31,1
174,174,TO,B,2021-01-09,9999-12-31,1
175,175,TO,A,2021-09-20,2021-06-02,1
176,176,TO,B,2021-06-04,9999-12-31,1
177,177,TO,B,2021-10-12,9999-12-31,1
178,178,TO,B,2021-12-30,9999-12-31,1
179,179,TO,A,2021-01-02,2021-11-18,1
180,180,TO,B,2022-05-03,9999-12-31,1
181,181,TO,B,2021-12-11,9999-12-31,1
182,182,TO,A,2021-11-16,2020-10-25,1
183,183,TO,A,2021-05-12,2021-03-18,1
184,184,TO,B,2022-02-28,9999-12-31,1
185,185,TO,B,2021-10-24,9999-12-31,1
186,186,TO,B,2021-06-18,9999-12-31,1
187,187,TO,A,2021-03-03,2021-09-28,1
188,188,TO,B,2021-06-04,9999-12-31,1
189,189,TO,B,2022-06-20,9999-12-31,1
190,190,TO,A,2022-03-16,2021-05-31,1
191,191,TO,B,2022-07-03,9999-12-31,1
192,192,TO,B,2021-11-04,9999-12-31,1
193,193,TO,A,2021-12-30,2021-10-13,1
194,194,TO,B,2021-04-05,9999-12-31,1
195,195,TO,A,2021-10-05,2020-10-31,1
196,196,TO,B,2021-06-19,9999-12-31,1
197,197,TO,A,2021-08-10,2021-07-15,1
198,198,TO,B,2022-05-20,9999-12-31,1
199,199,TO,A,2021-03-25,2021-11-13,1
200,200,TO,A,2022-04-06,2021-03-10,1
201,201,TO,A,2022-01-31,2021-01-21,1
202,202,TO,A,2021-01-13,2021-04-28,1
203,203,TO,B,2021-09-13,9999-12-31,1
204,204,TO,B,2021-04-14,9999-12-31,1
205,205,TO,A,2022-05-31,2021-02-08,1
206,206,TO,B,2021-02-05,9999-12-31,1
207,207,TO,B,2021-01-28,9999-12-31,1
208,208,TO,A,2021-07-27,2022-01-14,1
209,209,TO,B,2022-02-10,9999-12-31,1
210,210,TO,B,2021-05-31,9999-12-31,1
211,211,TO,B,2021-09-14,9999-12-31,1
212,212,TO,B,2020-10-23,9999-12-31,1
213,213,TO,A,2021-10-14,2022-03-27,1
214,214,TO,B,2020-12-15,9999-12-31,1
215,215,TO,A,2021-12-14,2021-10-30,1
216,216,TO,A,2022-02-05,2022-05-07,1
217,217,TO,B,2021-01-24,9999-12-31,1
218,218,TO,A,2022-06-09,2022-06-30,1
219,219,TO,A,2021-07-17,2021-11-09,1
220,220,TO,B,2021-11-08,9999-12-31,1
221,221,TO,B,2022-06-14,9999-12-31,1
222,222,TO,B,2021-08-03,9999-12-31,1
223,223,TO,A,2022-02-04,2021-12-09,1
224,224,TO,B,2021-03-13,9999-12-31,1
225,225,TO,A,2021-10-30,2021-04-15,1
226,226,TO,A,2022-07-03,2021-09-06,1
227,227,TO,B,2022-04-06,9999-12-31,1
228,228,TO,B,2021-03-23,9999-12-31,1
229,229,TO,A,2021-01-14,2022-04-06,1
230,230,TO,A,2022-06-17,2021-03-30,1
231,231,TO,B,2021-03-22,9999-12-31,1
232,232,TO,A,2021-05-02,2021-10-16,1
233,233,TO,B,2021-12-20,9999-12-31,1
234,234,TO,A,2021-05-03,2021-09-26,1
235,235,TO,A,2020-11-28,2022-02-24,1
236,236,TO,B,2021-12-11,9999-12-31,1
237,237,TO,B,2022-02-14,9999-12-31,1
238,238,TO,A,2022-01-29,2021-11-20,1
239,239,TO,B,2022-06-10,9999-12-31,1
240,240,TO,B,2021-05-13,9999-12-31,1
241,241,TO,A,2021-04-17,2020-11-22,1
242,242,TO,B,2021-05-05,9999-12-31,1
243,243,TO,A,2022-01-22,2021-10-21,1
244,244,TO,A,2021-08-10,2021-04-19,1
245,245,TO,B,2022-03-20,9999-12-31,1
246,246,TO,B,2022-02-09,9999-12-31,1
247,247,TO,A,2022-06-27,2021-04-27,1
248,248,TO,B,2020-10-13,9999-12-31,1
249,249,TO,A,2021-07-09,2021-01-04,1
250,250,TO,B,2020-12-12,9999-12-31,1
251,251,TO,A,2021-03-06,2021-03-14,1
252,252,TO,B,2020-10-19,9999-12-31,1
253,253,TO,B,2021-12-15,9999-12-31,1
254,254,TO,B,2021-08-17,9999-12-31,1
255,255,TO,A,2021-08-12,2021-04-04,1
256,256,TO,B,2022-01-19,9999-12-31,1
257,257,TO,B,2022-01-07,9999-12-31,1
258,258,TO,B,2021-11-02,9999-12-31,1
259,259,TO,B,2021-03-03,9999-12-31,1
260,260,TO,A,2021-09-20,2021-03-23,1
261,261,TO,B,2022-06-03,9999-12-31,1
262,262,TO,B,2021-04-21,9999-12-31,1
263,263,TO,B,2021-03-07,9999-12-31,1
264,264,TO,A,2021-04-05,2022-05-02,1
265,265,TO,A,2021-04-16,2022-05-13,1
266,266,TO,B,2021-11-08,9999-12-31,1
267,267,TO,B,2021-04-04,9999-12-31,1
268,268,TO,A,2022-06-20,2021-04-18,1
269,269,TO,B,2020-12-28,9999-12-31,1
270,270,TO,B,2020-11-21,9999-12-31,1
271,271,TO,B,2020-12-17,9999-12-31,1
272,272,TO,B,2022-01-16,9999-12-31,1
273,273,TO,A,2021-10-17,2021-12-07,1
274,274,TO,B,2021-05-09,9999-12-31,1
275,275,TO,A,2021-04-16,2021-01-13,1
276,276,TO,B,2021-06-22,9999-12-31,1
277,277,TO,B,2021-12-21,9999-12-31,1
278,278,TO,A,2022-06-18,2022-03-09,1
279,279,TO,B,2021-07-20,9999-12-31,1
280,280,TO,B,2021-09-03,9999-12-31,1
281,281,TO,A,2022-04-30,2021-12-13,1
282,282,TO,A,2022-01-21,2021-09-09,1
283,283,TO,B,2022-05-27,9999-12-31,1
284,284,TO,A,2022-01-29,2022-03-25,1
285,285,TO,A,2022-05-16,2021-11-08,1
286,286,TO,B,2021-11-02,9999-12-31,1
287,287,TO,B,2022-04-11,9999-12-31,1
288,288,TO,B,2021-06-12,9999-12-31,1
289,289,TO,B,2022-05-09,9999-12-31,1
290,290,TO,B,2022-06-19,9999-12-31,1
291,291,TO,A,2021-05-18,2021-11-26,1
292,292,TO,B,2020-12-22,9999-12-31,1
293,293,TO,A,2020-11-11,2021-03-15,1
294,294,TO,B,2021-03-09,9999-12-31,1
295,295,TO,A,2021-02-23,2020-12-07,1
296,296,TO,A,2020-12-06,2021-12-20,1
297,297,TO,B,2021-06-05,9999-12-31,1
298,298,TO,A,2021-06-02,2022-04-11,1
299,299,TO,A,2022-02-09,2022-06-30,1
300,300,TO,B,2022-04-01,9999-12-31,1
301,301,TO,A,2021-03-23,2021-01-27,1
302,302,TO,A,2021-04-13,2022-02-08,1
303,303,TO,B,2021-10-24,9999-12-31,1
304,304,TO,A,2021-11-28,2022-04-15,1
305,305,TO,B,2021-11-19,9999-12-31,1
306,306,TO,A,2021-08-14,2021-11-08,1
307,307,TO,A,2021-05-21,2021-06-21,1
308,308,TO,B,2022-01-17,9999-12-31,1
309,309,TO,B,2020-10-22,9999-12-31,1
310,310,TO,B,2022-03-11,9999-12-31,1
311,311,TO,B,2021-04-16,9999-12-31,1
312,312,TO,B,2021-05-01,9999-12-31,1
313,313,TO,B,2021-10-19,9999-12-31,1
314,314,TO,A,2020-12-23,2022-01-18,1
315,315,TO,B,2022-04-25,9999-12-31,1
316,316,TO,B,2021-03-19,9999-12-31,1
317,317,TO,B,2021-11-14,9999-12-31,1
318,318,TO,B,2021-01-08,9999-12-31,1
319,319,TO,A,2021-04-15,2021-07-12,1
320,320,TO,A,2021-07-20,2022-05-17,1
321,321,TO,A,2021-01-18,2022-05-03,1
322,322,TO,B,2021-08-29,9999-12-31,1
323,323,TO,B,2021-03-15,9999-12-31,1
324,324,TO,A,2021-02-02,2020-11-18,1
325,325,TO,A,2022-02-22,2020-11-29,1
326,326,TO,B,2021-01-13,9999-12-31,1
327,327,TO,B,2022-04-16,9999-12-31,1
328,328,TO,A,2020-10-12,2020-11-02,1
329,329,TO,A,2022-05-16,2021-02-19,1
330,330,TO,B,2022-05-28,9999-12-31,1
331,331,TO,B,2022-06-27,9999-12-31,1
332,332,TO,A,2021-03-24,2021-03-15,1
333,333,TO,A,2022-02-17,2021-08-02,1
334,334,TO,A,2022-04-05,2021-07-24,1
335,335,TO,B,2022-04-07,9999-12-31,1
336,336,TO,A,2022-03-19,2021-12-21,1
337,337,TO,A,2022-03-19,2020-11-01,1
338,338,TO,A,2021-12-30,2022-03-27,1
339,339,TO,B,2022-06-05,9999-12-31,1
340,340,TO,A,2020-11-22,2022-03-09,1
341,341,TO,B,2022-07-05,9999-12-31,1
342,342,TO,A,2022-01-17,2021-11-27,1
343,343,TO,A,2020-11-26,2021-05-16,1
344,344,TO,B,2022-01-07,9999-12-31,1
345,345,TO,A,2021-12-21,2020-11-29,1
346,346,TO,B,2021-10-16,9999-12-31,1
347,347,TO,B,2021-02-11,9999-12-31,1
348,348,TO,B,2021-07-27,9999-12-31,1
349,349,TO,A,2021-11-01,2020-11-22,1
350,350,TO,A,2021-04-26,2021-09-20,1
351,351,TO,A,2021-01-02,2021-08-19,1
352,352,TO,B,2020-11-04,9999-12-31,1
353,353,TO,B,2021-10-04,9999-12-31,1
354,354,TO,A,2021-11-15,2021-07-31,1
355,355,TO,B,2021-02-15,9999-12-31,1
356,356,TO,A,2022-02-11,2021-05-15,1
357,357,TO,A,2021-10-04,2022-05-23,1
358,358,TO,B,2022-04-28,9999-12-31,1
359,359,TO,A,2022-02-06,2021-07-27,1
360,360,TO,B,2022-06-23,9999-12-31,1
361,361,TO,B,2022-06-15,9999-12-31,1
362,362,TO,B,2021-11-07,9999-12-31,1
363,363,TO,B,2021-06-25,9999-12-31,1
364,364,TO,A,2021-02-02,2022-02-27,1
365,365,TO,A,2021-12-29,2021-05-18,1
366,366,TO,B,2021-09-24,9999-12-31,1
367,367,TO,A,2022-01-18,2022-04-30,1
368,368,TO,A,2022-05-13,2021-09-25,1
369,369,TO,A,2022-05-06,2021-09-03,1
370,370,TO,A,2021-05-07,2022-06-28,1
371,371,TO,B,2022-06-26,9999-12-31,1
372,372,TO,A,2022-02-18,2022-02-25,1
373,373,TO,B,2021-01-05,9999-12-31,1
374,374,TO,B,2022-06-05,9999-12-31,1
375,375,TO,A,2021-09-23,2021-10-06,1
376,376,TO,B,2022-02-27,9999-12-31,1
377,377,TO,B,2021-10-02,9999-12-31,1
378,378,TO,A,2020-10-17,2021-01-24,1
379,379,TO,A,2022-04-17,2021-07-04,1
380,380,TO,B,2021-06-06,9999-12-31,1
381,381,TO,B,2022-06-10,9999-12-31,1
382,382,TO,B,2021-09-07,9999-12-31,1
383,383,TO,A,2022-03-25,2021-07-03,1
384,384,TO,A,2021-06-18,2021-11-17,1
385,385,TO,A,2022-05-22,2021-05-14,1
386,386,TO,A,2021-06-18,2022-02-10,1
387,387,TO,B,2021-05-12,9999-12-31,1
388,388,TO,B,2022-06-11,9999-12-31,1
389,389,TO,A,2020-12-18,2021-08-02,1
390,390,TO,A,2021-12-19,2022-05-16,1
391,391,TO,B,2021-03-26,9999-12-31,1
392,392,TO,B,2022-01-22,9999-12-31,1
393,393,TO,B,2021-12-31,9999-12-31,1
394,394,TO,A,2021-04-05,2021-10-06,1
395,395,TO,B,2021-04-22,9999-12-31,1
396,396,TO,B,2021-09-07,9999-12-31,1
397,397,TO,B,2020-12-26,9999-12-31,1
398,398,TO,A,2020-10-11,2021-05-12,1
399,399,TO,A,2021-12-20,2022-07-02,1
400,400,TO,A,2022-01-06,2021-03-25,1
401,401,TO,B,2021-09-24,9999-12-31,1
402,402,TO,B,2021-06-19,9999-12-31,1
403,403,TO,B,2021-09-15,9999-12-31,1
404,404,TO,B,2022-02-16,9999-12-31,1
405,405,TO,B,2022-04-20,9999-12-31,1
406,406,TO,B,2021-08-21,9999-12-31,1
407,407,TO,A,2022-05-01,2021-10-21,1
408,408,TO,B,2021-09-01,9999-12-31,1
409,409,TO,B,2021-01-03,9999-12-31,1
410,410,TO,B,2021-11-30,9999-12-31,1
411,411,TO,A,2020-11-18,2021-10-07,1
412,412,TO,A,2022-02-28,2022-02-18,1
413,413,TO,A,2021-03-29,2021-12-24,1
414,414,TO,A,2021-07-15,2021-11-06,1
415,415,TO,A,2020-12-09,2022-04-29,1
416,416,TO,B,2022-05-12,9999-12-31,1
417,417,TO,A,2021-06-13,2021-11-22,1
418,418,TO,B,2021-12-12,9999-12-31,1
419,419,TO,A,2021-12-11,2021-01-07,1
420,420,TO,B,2020-12-06,9999-12-31,1
421,421,TO,B,2022-05-03,9999-12-31,1
422,422,TO,B,2021-03-29,9999-12-31,1
423,423,TO,A,2021-07-19,2021-04-27,1
424,424,TO,A,2021-02-23,2022-04-10,1
425,425,TO,A,2021-06-10,2021-11-04,1
426,426,TO,B,2021-08-15,9999-12-31,1
427,427,TO,A,2022-01-30,2022-03-07,1
428,428,TO,B,2022-04-03,9999-12-31,1
429,429,TO,B,2022-04-06,9999-12-31,1
430,430,TO,A,2021-09-12,2021-12-29,1
431,431,TO,A,2022-04-27,2022-01-13,1
432,432,TO,A,2022-05-19,2022-01-08,1
433,433,TO,B,2021-06-14,9999-12-31,1
434,434,TO,A,2021-03-29,2022-01-04,1
435,435,TO,A,2020-12-13,2022-04-17,1
436,436,TO,B,2022-03-09,9999-12-31,1
437,437,TO,B,2021-06-17,9999-12-31,1
438,438,TO,B,2021-08-19,9999-12-31,1
439,439,TO,B,2020-11-05,9999-12-31,1
440,440,TO,B,2021-11-28,9999-12-31,1
441,441,TO,B,2021-01-07,9999-12-31,1
442,442,TO,B,2021-04-21,9999-12-31,1
443,443,TO,B,2021-07-02,9999-12-31,1
444,444,TO,B,2021-09-28,9999-12-31,1
445,445,TO,B,2022-03-16,9999-12-31,1
446,446,TO,A,2021-12-30,2021-05-20,1
447,447,TO,B,2020-11-17,9999-12-31,1
448,448,TO,A,2022-01-11,2021-10-28,1
449,449,TO,B,2021-12-16,9999-12-31,1
450,450,TO,A,2021-04-19,2020-10-22,1
451,451,TO,A,2021-11-21,2020-11-08,1
452,452,TO,A,2020-10-17,2021-08-18,1
453,453,TO,B,2020-10-26,9999-12-31,1
454,454,TO,A,2022-06-28,2021-07-02,1
455,455,TO,A,2020-10-22,2021-06-08,1
456,456,TO,A,2021-09-25,2022-02-13,1
457,457,TO,B,2022-05-24,9999-12-31,1
458,458,TO,A,2021-09-25,2022-07-04,1
459,459,TO,B,2022-03-20,9999-12-31,1
460,460,TO,B,2020-11-29,9999-12-31,1
461,461,TO,A,2020-11-03,2021-10-25,1
462,462,TO,B,2021-04-22,9999-12-31,1
463,463,TO,B,2022-05-12,9999-12-31,1
464,464,TO,A,2022-03-20,2022-02-22,1
465,465,TO,B,2020-11-11,9999-12-31,1
466,466,TO,A,2021-05-29,2021-03-05,1
467,467,TO,B,2021-07-31,9999-12-31,1
468,468,TO,A,2021-01-28,2021-10-20,1
469,469,TO,A,2020-12-27,2021-06-24,1
470,470,TO,A,2021-05-26,2022-04-01,1
471,471,TO,B,2021-09-25,9999-12-31,1
472,472,TO,A,2022-05-28,2021-10-18,1
473,473,TO,B,2021-09-19,9999-12-31,1
474,474,TO,A,2021-05-19,2021-04-06,1
475,475,TO,A,2021-07-31,2021-04-13,1
476,476,TO,B,2021-09-03,9999-12-31,1
477,477,TO,B,2022-02-02,9999-12-31,1
478,478,TO,A,2021-11-27,2020-12-16,1
479,479,TO,B,2021-01-07,9999-12-31,1
480,480,TO,A,2021-07-24,2022-02-21,1
481,481,TO,A,2021-02-26,2022-04-27,1
482,482,TO,A,2021-05-19,2022-04-28,1
483,483,TO,B,2021-04-02,9999-12-31,1
484,484,TO,A,2021-12-12,2021-05-15,1
485,485,TO,B,2022-04-06,9999-12-31,1
486,486,TO,A,2022-07-03,2021-04-05,1
487,487,TO,B,2021-05-11,9999-12-31,1
488,488,TO,B,2022-04-16,9999-12-31,1
489,489,TO,A,2021-11-26,2022-05-08,1
490,490,TO,A,2021-03-23,2021-02-13,1
491,491,TO,B,2020-11-06,9999-12-31,1
492,492,TO,B,2020-11-05,9999-12-31,1
493,493,TO,A,2021-02-03,2021-01-31,1
494,494,TO,B,2022-05-19,9999-12-31,1
495,495,TO,B,2020-12-13,9999-12-31,1
496,496,TO,B,2020-11-14,9999-12-31,1
497,497,TO,B,2021-12-05,9999-12-31,1
498,498,TO,B,2021-01-04,9999-12-31,1
499,499,TO,A,2021-07-10,2021-02-05,1
500,500,TO,B,2021-08-05,9999-12-31,1
501,501,TO,B,2021-10-05,9999-12-31,1
502,502,TO,A,2021-12-11,2021-06-03,1
503,503,TO,B,2021-09-01,9999-12-31,1
504,504,TO,A,2022-02-13,2020-12-12,1
505,505,TO,A,2021-01-06,2021-08-16,1
506,506,TO,A,2021-02-13,2020-10-30,1
507,507,TO,A,2022-04-03,2022-06-23,1
508,508,TO,B,2022-01-04,9999-12-31,1
509,509,TO,B,2022-01-26,9999-12-31,1
510,510,TO,A,2021-12-31,2021-06-29,1
511,511,TO,B,2021-12-14,9999-12-31,1
512,512,TO,B,2021-06-14,9999-12-31,1
513,513,TO,B,2020-11-03,9999-12-31,1
514,514,TO,B,2022-02-15,9999-12-31,1
515,515,TO,B,2022-02-16,9999-12-31,1
516,516,TO,B,2021-02-22,9999-12-31,1
517,517,TO,A,2021-02-12,2020-12-31,1
518,518,TO,B,2022-04-15,9999-12-31,1
519,519,TO,A,2021-01-16,2021-06-14,1
520,520,TO,B,2021-07-26,9999-12-31,1
521,521,TO,A,2021-08-01,2021-09-22,1
522,522,TO,A,2021-07-10,2020-12-24,1
523,523,TO,B,2021-04-05,9999-12-31,1
524,524,TO,A,2022-05-21,2021-07-28,1
525,525,TO,B,2020-12-12,9999-12-31,1
526,526,TO,B,2021-08-19,9999-12-31,1
527,527,TO,A,2021-09-25,2021-08-10,1
528,528,TO,B,2020-12-07,9999-12-31,1
529,529,TO,A,2020-11-28,2021-04-02,1
530,530,TO,B,2020-10-18,9999-12-31,1
531,531,TO,A,2021-12-23,2022-03-16,1
532,532,TO,A,2021-06-02,2022-06-19,1
533,533,TO,A,2022-02-15,2021-07-27,1
534,534,TO,B,2022-03-11,9999-12-31,1
535,535,TO,A,2021-08-26,2021-05-12,1
536,536,TO,A,2021-12-13,2021-10-11,1
537,537,TO,B,2021-10-15,9999-12-31,1
538,538,TO,B,2021-06-04,9999-12-31,1
539,539,TO,B,2021-02-20,9999-12-31,1
540,540,TO,A,2021-12-12,2021-01-31,1
541,541,TO,B,2022-05-05,9999-12-31,1
542,542,TO,A,2021-10-13,2021-05-22,1
543,543,TO,B,2021-09-08,9999-12-31,1
544,544,TO,A,2021-04-15,2022-06-05,1
545,545,TO,B,2021-08-28,9999-12-31,1
546,546,TO,A,2021-08-22,2022-03-09,1
547,547,TO,A,2021-06-27,2021-08-26,1
548,548,TO,A,2022-05-06,2021-11-08,1
549,549,TO,A,2022-02-19,2021-10-02,1
550,550,TO,B,2022-02-16,9999-12-31,1
551,551,TO,A,2021-11-09,2022-05-25,1
552,552,TO,B,2021-04-28,9999-12-31,1
553,553,TO,A,2022-06-29,2022-04-29,1
554,554,TO,A,2021-04-27,2021-11-08,1
555,555,TO,B,2021-06-05,9999-12-31,1
556,556,TO,A,2022-04-04,2021-01-22,1
