idsiniestro,idpoliza,fecha_ocurs,fecha_apertura,fecha_cierre,tipo_siniestro,estado
194,454,2022-04-18,2020-10-12,2021-10-21,RE,CE
195,833,2021-09-10,2021-06-24,2022-05-18,RE,CE
196,1072,2020-12-27,2021-08-25,9999-12-31,RE,AB
197,1492,2021-11-06,2021-07-30,2022-05-26,IN,CE
198,501,2022-05-18,2020-12-27,9999-12-31,IN,AB
199,291,2021-06-08,2021-01-31,9999-12-31,IN,AB
200,1986,2022-04-04,2020-12-29,9999-12-31,IN,AB
201,806,2022-04-13,2022-02-14,2022-03-01,IN,CE
202,856,2021-10-02,2021-08-01,9999-12-31,RE,AB
203,64,2021-04-12,2021-12-01,9999-12-31,RE,AB
204,1437,2021-08-04,2021-11-06,9999-12-31,FA,AB
205,663,2021-07-13,2022-06-25,2022-06-27,IN,CE
206,91,2021-05-16,2022-06-28,2022-06-29,FA,CE
207,613,2021-01-23,2021-04-14,9999-12-31,IN,AB
208,1432,2022-03-12,2021-09-25,9999-12-31,IN,AB
209,1284,2022-04-04,2020-11-24,9999-12-31,IN,AB
210,607,2021-03-26,2022-03-20,9999-12-31,IN,AB
211,1115,2021-08-02,2022-07-01,9999-12-31,FA,AB
212,912,2021-01-23,2022-05-20,2022-06-05,IN,CE
213,1234,2022-01-04,2022-03-16,2022-04-13,RE,CE
214,1324,2020-12-27,2021-08-18,9999-12-31,FA,AB
215,1903,2022-05-29,2021-02-26,9999-12-31,FA,AB
216,1414,2021-11-24,2020-11-22,2022-04-05,RE,CE
217,240,2021-02-09,2021-03-26,2022-06-19,RE,CE
218,1571,2021-09-22,2021-06-16,9999-12-31,IN,AB
219,580,2021-04-09,2022-04-24,9999-12-31,IN,AB
220,511,2020-11-23,2021-07-03,2021-07-22,FA,CE
221,1735,2022-02-13,2022-03-30,9999-12-31,RE,AB
222,1938,2021-04-23,2022-01-15,2022-07-05,IN,CE
223,1939,2022-03-17,2021-03-21,2022-02-28,FA,CE
224,312,2020-10-23,2022-01-15,9999-12-31,RE,AB
225,193,2022-03-19,2021-01-27,9999-12-31,FA,AB
226,742,2021-11-05,2021-04-23,2021-08-14,RE,CE
227,468,2021-03-15,2022-01-09,2022-06-24,RE,CE
228,1230,2021-07-12,2021-10-22,2021-10-30,IN,CE
229,824,2021-10-25,2021-01-24,2022-05-04,FA,CE
230,13,2021-06-02,2022-03-16,2022-05-27,FA,CE
231,550,2022-01-11,2022-02-07,9999-12-31,FA,AB
232,564,2022-07-02,2022-03-05,9999-12-31,IN,AB
233,922,2021-12-16,2022-01-30,9999-12-31,IN,AB
234,651,2020-10-26,2021-03-29,9999-12-31,FA,AB
235,1336,2022-02-02,2022-01-28,2022-02-24,FA,CE
236,889,2021-09-28,2021-06-14,2021-08-04,IN,CE
237,36,2021-10-17,2021-03-18,9999-12-31,RE,AB
238,1389,2021-10-02,2021-04-29,9999-12-31,RE,AB
239,1285,2020-10-26,2021-06-25,2022-05-09,IN,CE
240,977,2021-08-20,2021-01-30,2021-09-23,RE,CE
241,1660,2021-04-23,2021-01-17,9999-12-31,RE,AB
242,1408,2022-04-15,2022-05-12,2022-06-19,RE,CE
243,1103,2022-04-21,2021-08-05,2022-05-22,RE,CE
244,999,2020-11-01,2021-09-02,2022-03-25,FA,CE
245,1609,2021-11-02,2021-05-18,2022-03-26,IN,CE
246,1297,2021-06-05,2021-11-04,2022-05-04,RE,CE
247,1605,2021-12-22,2021-05-28,2021-10-02,IN,CE
248,1012,2021-01-20,2021-04-21,2022-02-18,RE,CE
249,1575,2022-06-06,2022-03-03,9999-12-31,FA,AB
250,1839,2021-06-21,2022-06-12,2022-06-21,FA,CE
251,691,2022-05-25,2021-09-20,2021-10-29,RE,CE
252,116,2022-02-14,2020-11-22,9999-12-31,RE,AB
253,1436,2021-12-05,2021-11-24,9999-12-31,FA,AB
254,600,2021-09-19,2022-04-08,9999-12-31,RE,AB
255,1964,2020-11-04,2022-01-28,9999-12-31,IN,AB
256,600,2021-05-27,2021-07-19,9999-12-31,IN,AB
257,770,2022-06-30,2021-10-12,9999-12-31,RE,AB
258,139,2021-11-26,2020-12-19,9999-12-31,IN,AB
259,446,2021-06-07,2020-11-25,2022-01-18,FA,CE
260,1639,2021-05-26,2022-01-14,9999-12-31,IN,AB
261,961,2022-06-12,2022-06-23,9999-12-31,FA,AB
262,458,2022-04-08,2022-05-24,2022-06-15,RE,CE
263,1245,2021-11-19,2022-04-05,2022-05-30,FA,CE
264,850,2021-09-09,2022-04-11,9999-12-31,FA,AB
265,735,2021-02-16,2021-12-31,2022-03-17,RE,CE
266,489,2022-03-25,2022-05-30,9999-12-31,FA,AB
267,1410,2022-03-07,2022-02-01,2022-02-20,RE,CE
268,683,2020-11-13,2020-10-27,2021-04-17,RE,CE
269,1845,2021-12-11,2021-06-20,9999-12-31,IN,AB
270,676,2022-05-28,2021-11-16,2021-12-19,RE,CE
271,836,2022-01-10,2021-07-21,2021-09-07,IN,CE
272,642,2021-03-03,2022-04-07,2022-05-16,FA,CE
273,1270,2022-02-03,2022-03-13,2022-06-07,IN,CE
274,1770,2021-01-15,2021-07-01,2022-03-18,IN,CE
275,835,2021-12-11,2022-05-17,2022-05-17,IN,CE
276,991,2020-11-20,2021-05-04,9999-12-31,FA,AB
277,882,2021-09-08,2021-11-28,2022-02-25,RE,CE
278,1779,2020-12-20,2022-04-05,2022-04-08,RE,CE
279,1283,2021-03-20,2022-06-02,2022-07-05,FA,CE
280,1906,2021-04-24,2021-06-10,2022-03-24,FA,CE
281,1351,2022-06-02,2022-06-14,9999-12-31,IN,AB
282,1532,2021-09-26,2021-09-11,9999-12-31,FA,AB
283,414,2021-10-31,2022-06-10,9999-12-31,RE,AB
284,1931,2021-02-20,2020-11-29,9999-12-31,RE,AB
285,1229,2021-09-27,2021-05-05,2022-06-09,RE,CE
286,472,2021-11-18,2022-05-16,2022-06-18,RE,CE
287,1077,2021-03-08,2021-08-07,9999-12-31,RE,AB
288,1192,2021-08-23,2020-12-09,2021-01-30,RE,CE
289,205,2021-10-21,2022-04-13,9999-12-31,IN,AB
290,1064,2021-04-07,2020-10-22,2021-11-15,FA,CE
291,954,2020-12-16,2020-10-29,2021-04-15,IN,CE
292,1660,2022-04-12,2021-01-13,2021-02-25,RE,CE
293,441,2021-03-02,2021-08-15,2022-01-15,FA,CE
294,755,2021-05-19,2020-10-17,2022-01-11,IN,CE
295,785,2021-11-18,2022-01-14,2022-02-17,RE,CE
296,1690,2022-06-04,2020-11-11,2022-03-02,IN,CE
297,1438,2021-04-15,2022-06-03,9999-12-31,IN,AB
298,217,2022-01-26,2022-05-28,9999-12-31,RE,AB
299,1319,2021-05-31,2022-03-04,9999-12-31,RE,AB
300,140,2020-11-05,2021-10-26,2021-12-11,FA,CE
301,1118,2022-05-23,2022-03-27,2022-05-15,RE,CE
302,906,2022-01-27,2021-09-30,9999-12-31,RE,AB
303,1645,2020-10-27,2021-06-29,2021-09-23,FA,CE
304,1830,2021-01-29,2022-05-20,2022-07-01,IN,CE
305,588,2021-09-06,2021-02-02,9999-12-31,RE,AB
306,1996,2022-02-13,2020-10-30,9999-12-31,FA,AB
307,1331,2022-06-01,2022-02-05,2022-03-07,RE,CE
308,37,2021-02-01,2022-03-20,2022-06-29,RE,CE
309,1119,2021-04-01,2020-12-16,9999-12-31,RE,AB
310,1117,2022-03-11,2020-12-11,2021-08-09,RE,CE
311,1729,2021-10-12,2022-01-30,2022-06-01,IN,CE
312,980,2021-04-24,2021-12-28,2022-05-10,IN,CE
313,563,2021-07-19,2021-07-24,9999-12-31,RE,AB
314,318,2020-10-25,2021-11-16,9999-12-31,RE,AB
315,1593,2021-01-23,2020-12-22,9999-12-31,FA,AB
316,648,2021-06-13,2020-12-11,2021-12-09,FA,CE
317,1065,2021-03-18,2020-11-29,9999-12-31,FA,AB
318,1439,2020-11-26,2021-02-10,2021-11-20,FA,CE
319,706,2021-01-19,2021-02-12,9999-12-31,FA,AB
320,390,2021-11-07,2020-10-20,2021-10-08,RE,CE
321,627,2021-05-13,2021-08-04,2021-12-30,IN,CE
322,1069,2022-07-05,2021-05-06,2022-03-27,IN,CE
323,1639,2022-03-02,2021-07-05,9999-12-31,RE,AB
324,275,2021-07-11,2022-03-07,2022-04-27,IN,CE
325,592,2021-05-19,2021-06-13,9999-12-31,IN,AB
326,404,2021-09-14,2021-01-12,2021-12-05,RE,CE
327,776,2021-10-21,2021-04-04,2022-05-24,RE,CE
328,18,2021-07-30,2022-04-08,9999-12-31,IN,AB
329,943,2022-05-14,2021-08-01,9999-12-31,RE,AB
330,1520,2022-02-18,2021-02-14,2021-12-31,RE,CE
331,1508,2021-03-13,2022-02-05,2022-04-24,RE,CE
332,1356,2021-06-25,2021-01-10,2021-02-22,IN,CE
333,1522,2022-05-31,2021-08-05,9999-12-31,FA,AB
334,1199,2021-03-10,2021-05-08,9999-12-31,IN,AB
335,955,2021-01-11,2022-04-08,2022-05-23,IN,CE
336,1910,2020-12-05,2022-03-28,2022-05-06,IN,CE
337,168,2022-04-26,2020-10-30,9999-12-31,FA,AB
338,1296,2020-12-04,2021-07-25,2022-05-02,FA,CE
339,400,2022-05-02,2020-12-28,2021-09-26,FA,CE
340,1332,2021-12-17,2022-05-12,9999-12-31,RE,AB
341,982,2021-05-10,2021-01-15,2022-01-20,RE,CE
342,977,2021-12-26,2021-12-17,2022-02-02,RE,CE
343,1086,2022-07-05,2022-03-10,2022-05-22,FA,CE
344,6,2022-04-20,2022-02-25,2022-05-31,IN,CE
345,815,2021-04-23,2022-06-19,9999-12-31,FA,AB
346,133,2022-06-28,2022-04-12,9999-12-31,FA,AB
347,1109,2021-11-09,2021-10-12,9999-12-31,FA,AB
348,1818,2021-05-02,2022-05-19,9999-12-31,FA,AB
349,1711,2021-06-28,2021-12-06,2022-01-24,IN,CE
350,487,2022-04-23,2021-01-06,2022-04-25,FA,CE
351,208,2021-09-18,2022-04-06,9999-12-31,RE,AB
352,1803,2020-10-18,2021-04-25,9999-12-31,FA,AB
353,1321,2021-12-12,2022-01-05,2022-02-22,FA,CE
354,940,2021-05-02,2021-07-29,2022-03-01,IN,CE
355,937,2022-02-16,2022-03-14,9999-12-31,IN,AB
356,706,2022-01-10,2022-06-14,9999-12-31,FA,AB
357,943,2022-06-04,2020-10-31,9999-12-31,IN,AB
358,1594,2020-12-15,2021-07-30,2021-10-06,IN,CE
359,864,2021-08-11,2022-01-04,2022-06-20,RE,CE
360,838,2022-04-28,2020-12-22,2021-06-03,IN,CE
361,1085,2022-04-21,2021-10-24,2022-05-23,RE,CE
362,346,2022-06-26,2020-12-21,2021-06-27,IN,CE
363,26,2022-06-04,2022-03-05,2022-06-15,RE,CE
364,1051,2021-02-01,2021-06-23,9999-12-31,IN,AB
365,894,2021-05-13,2021-09-25,9999-12-31,RE,AB
366,1948,2021-12-18,2022-06-30,9999-12-31,FA,AB
367,798,2021-12-04,2021-07-23,9999-12-31,RE,AB
368,1799,2021-06-27,2021-05-02,9999-12-31,RE,AB
369,1478,2021-12-19,2022-05-05,9999-12-31,IN,AB
370,421,2021-02-16,2020-11-23,2022-02-01,RE,CE
371,1538,2022-02-17,2022-03-21,2022-06-12,FA,CE
372,1737,2022-03-27,2022-04-19,2022-04-26,RE,CE
373,85,2021-09-04,2022-03-03,2022-04-22,RE,CE
374,1046,2022-05-28,2021-07-05,9999-12-31,FA,AB
375,1527,2021-05-31,2020-11-23,9999-12-31,IN,AB
376,1509,2022-04-01,2022-05-26,2022-06-12,RE,CE
377,167,2022-03-16,2021-07-19,2021-12-29,RE,CE
378,507,2021-02-08,2021-05-02,2021-09-04,IN,CE
379,1288,2022-04-28,2020-12-23,2022-04-02,FA,CE
380,1926,2020-11-06,2021-03-07,2021-08-15,RE,CE
381,110,2020-12-26,2021-08-29,9999-12-31,RE,AB
382,659,2020-10-11,2021-06-02,9999-12-31,RE,AB
383,1943,2021-01-27,2021-11-04,2021-11-06,FA,CE
384,110,2021-09-16,2022-03-04,2022-04-23,RE,CE
385,33,2021-11-12,2022-03-25,9999-12-31,RE,AB
386,1361,2021-03-14,2022-01-19,2022-05-15,IN,CE
387,1966,2021-05-08,2021-05-26,2022-01-07,RE,CE
388,636,2022-04-19,2022-03-21,9999-12-31,FA,AB
389,644,2021-08-19,2022-06-12,9999-12-31,FA,AB
390,1352,2021-05-03,2022-04-14,2022-04-22,RE,CE
391,471,2021-03-14,2021-06-22,9999-12-31,IN,AB
392,1926,2022-06-23,2021-11-18,2022-01-22,RE,CE
393,1438,2022-06-01,2021-12-21,2022-02-15,FA,CE
394,800,2021-05-07,2020-11-28,9999-12-31,RE,AB
395,983,2021-05-19,2021-07-11,2021-08-21,FA,CE
396,777,2021-09-25,2022-06-14,9999-12-31,FA,AB
397,718,2021-11-25,2022-07-05,2022-07-05,RE,CE
398,1765,2021-03-29,2021-08-03,2022-05-14,IN,CE
399,1976,2021-05-16,2021-10-31,9999-12-31,IN,AB
400,688,2021-04-27,2022-04-30,2022-06-15,IN,CE
401,1468,2021-10-28,2021-10-21,9999-12-31,IN,AB
402,707,2021-05-13,2021-01-02,2021-11-13,RE,CE
403,1828,2021-07-06,2020-10-18,2020-10-31,FA,CE
404,713,2020-12-06,2021-12-02,2022-05-20,FA,CE
405,561,2021-06-03,2021-11-08,2021-11-29,RE,CE
406,876,2021-01-06,2021-06-20,9999-12-31,IN,AB
407,1518,2021-12-20,2021-02-13,9999-12-31,RE,AB
408,1509,2021-05-23,2021-06-03,9999-12-31,RE,AB
409,168,2021-05-12,2022-01-19,2022-02-12,FA,CE
410,894,2020-12-17,2021-10-25,2022-04-17,FA,CE
411,647,2021-09-14,2021-08-11,9999-12-31,IN,AB
412,1254,2021-06-08,2021-09-02,9999-12-31,RE,AB
413,1278,2021-09-15,2021-10-23,2021-12-28,IN,CE
414,1744,2022-01-06,2021-10-19,2022-05-27,FA,CE
415,969,2021-01-01,2021-06-15,9999-12-31,FA,AB
416,521,2021-07-20,2022-01-17,2022-05-16,IN,CE
417,1600,2021-08-27,2021-04-30,2021-12-04,IN,CE
418,778,2020-11-22,2021-12-23,9999-12-31,RE,AB
419,1188,2022-03-02,2021-10-14,9999-12-31,IN,AB
420,1104,2022-01-06,2022-02-03,2022-06-03,FA,CE
421,1733,2020-10-29,2021-10-14,2021-10-25,RE,CE
422,512,2021-01-24,2022-02-18,2022-06-15,IN,CE
423,809,2021-05-12,2022-04-14,9999-12-31,RE,AB
424,1109,2022-04-18,2021-05-18,2021-09-12,IN,CE
425,742,2021-02-13,2021-10-28,2022-03-06,IN,CE
426,595,2021-08-01,2021-08-22,2022-02-19,IN,CE
427,1283,2021-12-27,2022-05-27,9999-12-31,IN,AB
428,936,2021-11-22,2021-09-05,9999-12-31,FA,AB
429,384,2020-11-15,2020-11-10,2021-01-03,IN,CE
430,665,2021-01-03,2021-10-20,2022-03-18,IN,CE
431,542,2021-12-05,2022-06-13,9999-12-31,FA,AB
432,23,2021-09-13,2022-05-09,9999-12-31,FA,AB
433,636,2021-05-30,2020-11-12,9999-12-31,IN,AB
434,873,2021-08-09,2021-08-17,9999-12-31,IN,AB
435,1972,2021-03-05,2021-01-30,9999-12-31,FA,AB
436,877,2022-01-17,2022-01-09,9999-12-31,IN,AB
437,1790,2021-08-26,2022-03-18,9999-12-31,FA,AB
438,484,2022-02-17,2022-01-19,2022-02-14,IN,CE
439,907,2022-01-08,2021-01-11,9999-12-31,IN,AB
440,1035,2021-12-14,2022-05-23,2022-07-04,FA,CE
441,488,2022-05-06,2021-10-26,2022-06-17,IN,CE
